,decision,titleabstract
2271,Excluded,"Re-irradiation of pituitary adenoma Fifteen patients initially irradiated for pituitary adenoma were subsequently treated with a second course of radiotherapy at the University of California at San Francisco between 1961 and 1989. The re-irradiation followed surgery in all but two cases. The median time to recurrence was 9 years (range 2-17) and median follow-up after the second course of radiotherapy was 10 years (range 1-30). The median initial radiation dose was 4084 cGy; that at recurrence was 4200 cGy. Local control has been maintained in 12 patients. One failed locally with a benign adenoma that was surgically salvaged. Two developed pituitary carcinomas which were poorly controlled. Of the patients who presented with visual abnormalities at the time of recurrence, 50% improved and the remainder stabilized after re-irradiation. There are no long-term visual complications. Hypopituitarism was present in nine patients prior to the second course of radiotherapy and developed in the remaining six patients after re-irradiation. Temporal lobe injury was seen in two patients. Careful analysis of each patient's pituitary and temporal lobe doses, intervals between treatments, treatment volume, neurets, relative decay factors, absolute decay factors, TDF and modified LQF values, and dose-volume relationships, revealed no correlation with complication or likelihood of local control. Repeat radiotherapy for recurrent pituitary adenoma with the doses used in these patients appears to carry acceptable risk with good local control."
2484,Excluded,"Helical tomotherapy: Experiences of the first 150 patients in Heidelberg Background and Purpose: Helical tomotherapy was introduced into clinical routine at the Department of Radiation Oncology, University Hospital of Heidelberg, Germany, in July 2006. This report is intended to describe the experience with the first 150 patients treated with helical tomotherapy. Patient selection, time effort, handling of daily image guidance with megavoltage (MV) CT, and quality of radiation plans shall be assessed. Patients and Methods: Between July 2006 and May 2007, 150 patients were treated with helical tomotherapy in the University Hospital of Heidelberg. Mean age was 60 years with a minimum of 30 years and a maximum of 85 years. 79 of these patients received radiotherapy as a part of multimodal treatment pre- or postoperatively, 17 patients received treatment as a combined radiochemotherapy. 76% were treated with curative intent. Radiotherapy sites were central nervous system (n = 7), head and neck (n = 28), thoracic (n = 37), abdominal (n = 58) and skeletal system (n = 20). Most common tumor entities were prostate cancer (n = 28), breast cancer (n = 17), gastrointestinal tumors (n = 19), pharyngeal carcinoma (n = 14), lymphoma (n = 13), metastatic disease (bone n = 14, liver n = 6, lung n = 4, lymph node n = 2), sarcoma (n = 8), malignant pleural mesothelioma (n = 5), ovarian cancer treated with whole abdominal irradiation (n = 4), lung cancer (n = 3), skin malignancies (n = 3), chordoma (n = 2), meningioma (n = 2), one ependymoma and one medulloblastoma treated with craniospinal axis irradiation (n = 2), and others (n = 4). Nine patients were treated with single-fraction radiosurgery, nine with image-guided spinal reirradiation, and twelve patients were treated at multiple targets simultaneously. A pretreatment MV-CT scan was performed in 98.2% of the 3,026 fractions applied. After matching with the kilovoltage planning CT, corrections for translations and rotation around longitudinal axis (roll) were done. Result(s): Mean time on table was 24.8 min for the mentioned tumor entities with fractionated radiation, mean treatment time 10.7 min. Mean correction vector after MV-CT registration was 6.9 mm. With helical tomotherapy it was possible to achieve highly conformal dose distributions for targets of all sizes and multiple targets within one procedure. Image guidance with MV-CT allowed daily position correction and safe and precise treatment application. This was feasible even if the desired immobilization was not possible due to obesity, claustrophobia, pain, or neurologic or orthopedic impairment. Conclusion(s): Helical tomotherapy and daily image guidance with MV-CT could fast be introduced into daily clinical routine. This technique allows precise intensity-modulated radiotherapy (IMRT) in standard cases and offers new treatment options in a huge variety of difficult cases. © 2008 Urban & Vogel."
2316,Excluded,"Brain dysplasia evoked by gamma irradiation at different stages of prenatal development leads to different tonic and clonic seizure reactivity Rats with brain dysplasia evoked by interruption of different stages of prenatal neurogenesis show characteristic variations in susceptibility to seizures depending on the neurochemical specificity of pharmacological agents used to evoke seizures. To verify a discrepancy between the data obtained using different pharmacological models, neurochemically neutral electroshocks were applied here. To produce brain dysplasia of different degrees, pregnant Wistar rats were exposed to a single 1.0. Gy dose of gamma rays on gestation days 13, 15, 17 or 19. From the postnatal day 60, their male offspring (E13s, E15s, E17s and E19s, respectively) were subjected to 21 daily electrical stimulations to evoke seizures. Profiles of tonic and clonic reactivity to electrical stimulation significantly differed from those observed following pilocarpine or kainic acid administration. E17s showed minimal intensity of tonic but maximal of clonic responses. On the contrary, very high tonic and low clonic reactivity was observed in E13s and E15s. Periventricular nodular heterotopias (PNHs) were observed exclusively in E15s and E17s. Generally, the size of PNHs was correlated positively with susceptibility to tonic seizures but negatively with susceptibility to clonic seizures. Analogous correlations with the size of the neocortex were opposite. E13s and E19s had brains devoid PNHs but showed high tonic seizure susceptibility similar to that in E15s. It can therefore be concluded that PNHs modified the type of seizure reactivity from tonic to clonic, depending of their size, but the presence of PNHs was not necessary for the development of seizure susceptibility itself. © 2013 Elsevier B.V."
1160,Included,"Radiation post-traumatic stress disorder Background: Whether PTSD following radiation emergency has psychopathological, neurocognitive and neurophysiological peculiarities is at issue. Goal: To explore features and cerebral basis of ""radiation"" PTSD in the Chernobyl accident survivors. Subjects and methods: The cross-sectional study included 241 people, 219 of whom have been diagnosed with PTSD according to the DSM-IV criteria, among them 115 clean-up workers [liquidators] of the Chernobyl accident (34 with acute radiation sickness), 76 evacuees from the Chernobyl exclusion zone, 28 veterans of the war in Afghanistan, and 22 healthy unexposed individuals. Psychometric examinations, neurocognitive assessments, computerized electroencephalography, and cerebral vascular Doppler were used. Result(s): ""Radiation"" PTSD includes: ""flashforward"" phenomenon and anticipating stress (projection of fear and danger to the future); somatoform disorders, depression, trait and state anxiety; neurocognitive deficit (impaired memory and attention, auditory-verbal memory and learning, proactive and retroactive interference; cerebellar and stem symptoms, intellectual changes). The intima-media component thickness of common carotid arteries, and common and left internal carotid arteries stenosis rates are increased in the liquidators. Changes of bioelectrical brain activity as a decrease of beta- and theta-power together with an increase of alpha-power were found in the Chernobyl accident survivors with PTSD. Conclusion(s): PTSD following radiation emergency is characterized by comorbidity of psychopathology, neurocognitive deficit, and cerebrovascular pathology with increased risk of cerebral atherosclerosis and stroke. Cerebral basis of this PTSD is proposed to be an abnormal communication between the pyramidal cells of neocortex and hippocampus, and deep brain structures."
2544,Excluded,"Three-dimensional image fusion is associated with lower radiation exposure and shorter time to carotid cannulation during carotid artery stenting OBJECTIVE: Three-dimensional (3D) image fusion is associated with lower radiation exposure, contrast agent dose, and operative time during endovascular abdominal aortic aneurysm repair. Therefore, we evaluated the impact of this technology on carotid artery stenting (CAS).METHODS: We identified consecutive CAS procedures from 2009 to 2017 and compared those performed with and without 3D image fusion. For image fusion, we created a 3D reconstruction of the aortic arch anatomy based on preoperative computed tomography or magnetic resonance angiography that we merged with two-dimensional fluoroscopy, allowing 3D image overlay. We compared radiation exposure, fluoroscopy time, contrast agent dose, time to common carotid artery (CCA) cannulation, time from CCA cannulation to completion angiography, and total procedure time in procedures with and without image fusion. We also assessed rates of 30-day stroke/death, in-hospital and 30-day stroke, and acute kidney injury. We used multivariable linear regression to adjust for patient and procedural characteristics and used these models to compute the marginal effects of image fusion compared with no image fusion.RESULTS: There were 46 patients who underwent CAS with a 3D image fusion system and 70 patients without. Patients undergoing CAS with image fusion experienced 31% lower radiation exposure compared with the control group (207 +/- 23 mGy vs 300 +/- 26 mGy, respectively; P < .01), shorter fluoroscopy time (21 +/- 6 minutes vs 24 +/- 8 minutes; P = .02), shorter time to carotid cannulation (21 +/- 9 minutes vs 31 +/- 8 minutes; P < .001), and shorter total procedure time (47 +/- 13 minutes vs 54 +/- 18 minutes; P = .03). There was no difference in contrast material volume, time from CCA cannulation to completion angiography, or total in-room time. After multivariable adjustment, 3D image fusion remained associated with lower radiation dose, shorter fluoroscopy time, and shorter time to carotid cannulation (all P < .05). The rate of 30-day stroke/death was 2.7% (three strokes and no deaths at 30 days), and the rate of acute kidney injury was 1.8%.CONCLUSIONS: CAS with 3D image fusion was associated with lower radiation exposure and shorter time to CCA cannulation. These results represent the potential technical advantage gained with image fusion and add to the growing body of evidence demonstrating its impact on radiation exposure and operative times during complex endovascular procedures."
678,Excluded,"Presenilin 1 deficiency alters the activity of voltage-gated Ca2+ channels in cultured cortical neurons Presenilins 1 and 2 (PS1 and PS2, respectively) play a critical role in mediating gamma-secretase cleavage of the amyloid precursor protein (APP). Numerous mutations in the presenilins are known to cause early-onset familial Alzheimer's disease (FAD). In addition, it is well established that PS1 deficiency leads to altered intracellular Ca(2+) homeostasis involving endoplasmic reticulum Ca(2+) stores. However, there has been little evidence suggesting Ca(2+) signals from extracellular sources are influenced by PS1. Here we report that the Ca(2+) currents carried by voltage-dependent Ca(2+) channels are increased in PS1-deficient cortical neurons. This increase is mediated by a significant increase in the contributions of L- and P-type Ca(2+) channels to the total voltage-mediated Ca(2+) conductance in PS1 (-/-) neurons. In addition, chelating intracellular Ca(2+) with 1,2-bis-(o-aminophenoxy)ethane-N,N,N',N'-tetraacetic acid (BAPTA) produced an increase in Ca(2+) current amplitude that was comparable to the increase caused by PS1 deficiency. In contrast to this, BAPTA had no effect on voltage-dependent Ca(2+) conductances in PS1-deficient neurons. These data suggest that PS1 deficiency may influence voltage-gated Ca(2+) channel function by means that involve intracellular Ca(2+) signaling. These findings reveal that PS1 functions at multiple levels to regulate and stabilize intracellular Ca(2+) levels that ultimately control neuronal firing behavior and influence synaptic transmission."
1986,Excluded,"Improved survival for elderly married glioblastoma patients : Better treatment delivery, less toxicity, and fewer disease complications OBJECTIVES: Marital status is a well-described prognostic factor in patients with gliomas but the observed survival difference is unexplained in the available population-based studies.METHODS: A series of 57 elderly glioblastoma patients (>=70 years) were analyzed retrospectively. Patients received radiotherapy or chemoradiation with temozolomide. The prognostic significance of marital status was assessed. Disease complications, toxicity, and treatment delivery were evaluated in detail.RESULTS: Overall survival was significantly higher in married than in unmarried patients (median, 7.9 vs. 4.0 months; p = 0.006). The prognostic significance of marital status was preserved in the multivariate analysis (HR, 0.41; p = 0.011). Married patients could receive significantly higher daily temozolomide doses (mean, 53.7 mg/m2 vs. 33.1 mg/m2; p = 0.020), were more likely to receive maintenance temozolomide (45.7 % vs. 11.8 %; p = 0.016), and had to be hospitalized less frequently during radiotherapy (55.0 % vs. 88.2 %; p = 0.016). Of the patients receiving temozolomide, married patients showed significantly lower rates of hematologic and liver toxicity. Most complications were infectious or neurologic in nature. Complications of any grade were more frequent in unmarried patients (58.8 % vs. 30.0 %; p = 0.041) with the incidence of grade 3-5 complications being particularly elevated (47.1 % vs. 15.0 %; p = 0.004).CONCLUSION: We found poorer treatment delivery as well as an unexpected severe increase in toxicity and disease complications in elderly unmarried glioblastoma patients. Marital status may be an important predictive factor for clinical decision-making and should be addressed in further studies."
648,Excluded,"Neuroinflammatory changes of the normal brain tissue in cured mice following combined radiation and anti-PD-1 blockade therapy for glioma The efficacy of combining radiation therapy with immune checkpoint inhibitor blockade to treat brain tumors is currently the subject of multiple investigations and holds significant therapeutic promise. However, the long-term effects of this combination therapy on the normal brain tissue are unknown. Here, we examined mice that were intracranially implanted with murine glioma cell line and became long-term survivors after treatment with a combination of 10 Gy cranial irradiation (RT) and anti-PD-1 checkpoint blockade (aPD-1). Post-mortem analysis of the cerebral hemisphere contralateral to tumor implantation showed complete abolishment of hippocampal neurogenesis, but neural stem cells were well preserved in subventricular zone. In addition, we observed a drastic reduction in the number of mature oligodendrocytes in the subcortical white matter. Importantly, this observation was evident specifically in the combined (RT+aPD-1) treatment group but not in the single treatment arm of either RT alone or aPD-1 alone. Elimination of microglia with a small molecule inhibitor of colony stimulated factor-1 receptor (PLX5622) prevented the loss of mature oligodendrocytes. These results identify for the first time a unique pattern of normal tissue changes in the brain secondary to combination treatment with radiotherapy and immunotherapy. The results also suggest a role for microglia as key mediators of the adverse treatment effect."
2575,Included,"Collateral damage of radiation to normal tissues: What can the retina tell us? Purpose : Damage to normal tissue in an irradiated field (normal tissue injury, NTI) is a complication of radiation therapy believed to be caused by microvessel pathology. In the Collaborative Ocular Melanoma Study (COMS), vascular pathology was described in uveal melanoma (UM) patients 2 years post-radiation therapy. However, the COMS and other studies used subjective scoring systems, lacked a control group, did not assess neuronal function in detail, and used dosimetry methods simplified for clinical application. Methods : Optical coherence tomography-angiography (OCT-A) was used to characterize vascular pathology by vessel density, fractal dimension (FD), lacunarity, foveal avascular zone (FAZ) size, parafoveal density (PVD), and by machine learning-derived density maps. OCT-derived retinal layer thickness and 10-2 visual field testing (VF) were used to quantify corresponding neuronal loss and dysfunction. Patient-specific 3D dosimetry models were constructed to spatially correlate dose to each outcome measure. Measurements were taken in both eyes of 31 UM patients at 0.5-150 mo post-<sup>125</sup>I plaque brachytherapy, and 16 age-matched controls. Data were normalized to the contralateral eye to account for subject variation due to age or systemic disease. Results : Abnormal vessel density, FD, lacunarity, FAZ size, and PVD were observed after 24 mo in 25 out of 31 subjects, whereas only 6 subjects showed any vascular pathology before 24 mo. Visual acuity was the least sensitive indicator of adverse outcome, with only 16% of the entire population showing a visual decline of two or more Snellen lines since diagnosis. Neuronal dysfunction by VF correlated strongly with most measures, especially vessel density, thinning of the superficial retina, and radiation dose (p<0.001). Abnormalities were observed only at doses above 20 Gy. Conclusions : Using a series of quantitative approaches, radiation microvasculopathy was detected starting at 24 mo post-exposure in most patients. Strong correlations between loss of neuronal function, vascular pathology, and dose were observed. Prospective studies will help determine whether vascular pathology precedes neuronal loss."
753,Excluded,"Vision loss following high-dose proton-based radiotherapy for skull-base chordoma and chondrosarcoma BACKGROUND & PURPOSE: Dose escalation for skull-based chordoma and chondrosarcoma can put critical adjacent structures at risk, specifically the anterior optic pathway. We report the incidence of vision loss following high-dose conformal proton-based radiotherapy.MATERIALS AND METHODS: We reviewed patients with skull-base chordoma or chondrosarcoma treated with proton-based therapy between 2007 and 2018. We analyzed 148 patients and 283 individual eyes with functional vision at baseline who received a minimum 30GyRBE to 0.1 cm<sup>3</sup> of the anterior optic pathway. Eyes were classified as ""functionally blind"" if visual acuity was 20/200 or worse. Kaplan-Meier and normal tissue complication probability modeling were used to establish the relationship between radiation dose and risk of functional vision loss.RESULTS: At last follow-up, 110 of 148 patients were alive with no evidence of disease progression. With a median follow-up of 4.1 years (range, 0.5-12.8), 5 eyes in 3 patients developed functional blindness, with 2 patients developing bilateral blindness. Median time to blindness was 15.2 months. The 5-year incidence of vision loss was 2.1% (95% CI: 0.9-4.9%). On univariate analysis, development of blindness was associated with presence of multiple medical comorbidities (p = 0.0040). While there were no events with a maximum dose < 60GyRBE delivered to the anterior optic pathway, the crude rate was 3.6% over 60GyRBE, with all events occurring between 60-65GyRBE.CONCLUSIONS: Despite the high radiotherapy dose delivered to patients with skull-base chordoma and chondrosarcoma, the rate of vision loss is low and no events occurred in those who received a maximum dose under 60GyRBE."
3009,Excluded,"Histologic changes in rat brain tissue caused by neodymium-yttrium aluminum garnet laser irradiation. II. Cerebellum Histologic changes after neodymium-yttrium aluminum garnet laser irradiation were evaluated in the rat cerebellum. Irradiation of 60 W (corresponds to 45.2 W/mm2) to the posterior fossa was dangerous even in adult rats, although this value was safe for the rat cerebral hemisphere as previously reported. The histologic changes caused by neodymium-yttrium aluminum garnet laser irradiation were similar to those caused by thermal energies. To the adult rat cerebellum, 45 W (35.2 W/mm2) can safely be applied. For the further use of the neodymium-yttrium aluminum garnet laser in neurosurgery, our findings should be taken into consideration."
2940,Excluded,"Comparison of aberrant DNA methylation in rectal tissues before and after neoadjuvant chemoradiotherapy Aim: Aberrant DNA methylation is implicated in the pathogenesis of rectal cancer. In studies investigating methylation and the role of neoadjuvant chemoradiotherapy, the effect of this treatment upon the methylation itself is not well understood. We aimed to investigate any differences in methylation before or after treatment. Method(s): Patients undergoing neoadjuvant chemoradiotherapy for rectal cancer were identified. Tumour tissue from pretreatment biopsies and post treatment resections for the same patients was subjected to DNA extraction. This was also modelled in vitro by administering ionizing radiation (7-15 Gy) to a colorectal cancer cell line and extracting DNA 48 hour later. Methylation specific PCR was used to characterize the methylation status of CpG islands in the promoter regions of 8 genes associated with rectal cancer. PCR band size and intensity was measured to give a semiquantiative analysis of methylation intensity in the cell line experiment. Result(s): 17 patients underwent analysis. Methylation was seen less frequently in post treatment specimens for all 8 markers, however, this difference was significant for one marker (ADAMTS1, 10/17 methylated pre vs 0/17 post, P = 0.001) and approached significance for another (hMLH1, 6/17 vs 1/17, P = 0.08). In the cell line study, methylation band intensity was significantly reduced above a dose of 10 Gy for both ADAMTS1 (P = 0.05) and NEUROG1 (P < 0.05) markers. Conclusion(s): Ionizing radiation appears to affect rectal cancer DNA methylation in patients and in an in vitro model. Further studies into this phenomenon are indicated, however, investigators should consider this when studying DNA methylation in patients undergoing radiation therapy."
3159,Excluded,"Contribution to the pathogenesis of radiation-induced injury to large arteries We report a case of a 35-year-old man who died of a brain infarct 20 months after radiotherapy for carcinoma of the tonsil with metastases to the cervical lymph nodes. Histology revealed mild atherosclerosis, necrotizing vasculitis, and occlusive thrombosis of the internal carotid artery. Significant changes were observed in the vasa vasorum: swelling and detachment of the endothelium, subendothelial oedema, hyaline change, fibrinoid necrosis of the vessel walls with mononuclear cellular infiltration, accompanied by focal haemorrhages and chronic inflammation in the periadventitial soft tissue. We believe that these changes of the vasa vasorum and necrotizing vasculitis are causally related and that vasculitis represents focal ischaemic necroses with inflammatory reaction. Our findings support the hypothesis, based on experimental studies, that injury to the vasa vasorum is an important mechanism in the development of radiation-induced vasculopathy of large arteries. They also suggest an evolution of the injury to the vasa vasorum and periadventitial tissue from the early lesions described in our patient, to late stages resulting in dense periadventitial fibrosis as reported previously. We suggest that injury to the vasa vasorum and the consequent ischaemic lesions of the arterial wall are morphological features distinguishing radiation-induced arterial injury from spontaneous atherosclerosis."
