,Unnamed: 0.1,Unnamed: 0,decision,titleabstract
27,2488,2488,Excluded,"Aggressive malignant prolactin pituitary tumors: pathological diagnosis patient management. According World Health Organization classification pituitary tumors, tumors systemic metastasis must considered carcinomas. Invasive tumors multiple recurrences classified aggressive tumors [']atypical adenomas[']. To illustrate problems encountered pathological diagnosis pituitary carcinoma patient management, present two male patients operated aggressive prolactin pituitary adenoma without metastasis. In case ,  surgeries,  irradiations, increased doses dopamine agonists, trials temozolomide carboplatine-VP failed control tumor progression appearance metastases lead death  years onset. In case , based initial diagnosis aggressive-invasive adenoma resistant dopamine agonists, gamma-Knife irradiation initially performed intra-cavernous remnant. Eight years onset, remnant remained stabilized plasma PRL normalized dopamine agonist. From  cases alongside cases found literature, propose association certain clinical signs (male sex, dopamine-resistant hyperprolactinemia), radiological signs (invasive macro giant tumor MRI) histological signs (angiogenesis, Ki- > %, p positive, mitoses > per high power field, vascular invasion, up-regulation genes related invasion proliferation, allelic loss chromosome ) might suggest aggressiveness suspicious malignancy appearance metastasis. The early detection aggressive phenotype prolactin pituitary tumor permit earlier establishment optimum therapeutic strategy associating surgery radiotherapy delay inhibit metastasis."
30,4044,238,Excluded,"Brachioradial pruritus cervical spine manipulation. Brachioradial pruritus (BRP) causes significant morbidity majority patients effective treatment found. Chronic ultraviolet radiation exposure usually cited cause, nerve damage cervical spine disease also implicated. We report small retrospective exploratory study, conducted questionnaire, group patients treated specific cervical spine manipulation. Ten  patients reported resolution symptoms following manipulative treatment. All six patients previous cervical spine disease responded manipulation, half remaining eight patients previous history neck symptoms. Although patients BRP, definition, share similar symptoms, aetiology almost certainly multifactorial. Prospective studies looking cervical spine disease, well assessment particular method cervical spine manipulation treatment modality BRP, considered."
33,3816,10,Excluded,"Neurotoxicity early prophylactic cranial radiation hippocampal avoidance SCLC (SAKK /). Purpose Objective: To evaluate neurocognitive function (NCF) clinical outcomes early hippocampal avoidance (HA) prophylactic cranial irradiation (PCI) limited disease (LD) small-cell lung cancer (SCLC) multicenter phase II trial (SAKK /). Material(s) Method(s): In phase II trial, patients LD SCLC received HA-PCI  Gy  fractions concomitant nd cycle chemotherapy (CHT) thoracic radiotherapy. All patients underwent objective NCF testing baseline,  weeks,   months HA-PCI. NCF tests included Hopkins Verbal Learning Test Revised (HVLT-R), Controlled Oral Word Association (COWAT), Trail Making Tests (TMT) A B. The primary endpoint NCF decline  months HA-PCI. We assumed rate <= % patients NCF decline unpromising. Secondary endpoints included brain metastases free survival (BMFS), overall survival (OS), safety concomitant treatment. Result(s): Among  patients enrolled trial,  evaluable NCF assessment  months HA-PCI. The rate evaluable patients showing NCF decline   months .% (% CI: . - .%) .% (% CI: . - .%), respectively (Figure ). Median follow-up . months (% CI: . - .). At  months, rate BMFS .% (% CI: . - .%), OS .% (% CI: . - .%). Four patients died due SCLC,  due respiratory failure,  due hemorrhage,  unknown reason. The frequently reported grade >=  acute adverse events anemia (.%), febrile neutropenia (.%) fatigue (.%). [Figure Presented] Conclusion(s): The rate patients showing NCF decline   months early HA-PCI concomitant CHT appear better, rather similar observed patients receiving sequential PCI without HA.<sup></sup> Early HA-PCI LD SCLC feasible, observation promising BMFS OS. Reference: . Wolfson AH, Bae K, Komaki R, et al. Primary Analysis Phase II Randomized Trial Radiation Therapy Oncology Group (RTOG) : Impact Different Total Doses Schedules Prophylactic Cranial Irradiation Chronic Neurotoxicity Quality Life Patients With Limited-Disease Small-Cell Lung Cancer. Int J Radiat Oncol Biol Phys. ;():-. Copyright ©  Elsevier Ireland Ltd"
36,4778,550,Excluded,"Novel PAK-mediated regulation endothelial CXCL/CXCR signaling angiogenesis glioblastoma Increased endothelial cell proliferation aberrant neovascularization pathological hallmarks glioblastoma correlate clinical outcome. Recent studies also implicated ionizing radiation (IR)-induced angiogenesis potential cause tumor recurrence metastases several malignancies. Its impact gliomas characterized. Factors drive endothelial proliferation, angiogenesis interaction endothelial cells tumor cells context radiotherapy potentially novel targets glioma therapy. Our previous studies demonstrated high levels expression p-activated kinase  (PAK) gliomas; analyses tumor cell medium (CM) prepared shRNA-mediated PAK-knockdown cells using angiogenesis antibody array showed significant decrease key angiogenic factors including CXCL. Treatment human brain microvascular endothelial cells (HBMECs) CM PAK-knockdown cells (PAK-kd CM) significantly inhibited proliferation, migration microtubule formation compared CM control scrambled vector-expressing glioma cells. PAK-kd CM treatment also suppressed CXCR activation decreased expression levels p-STAT, VEGF, MMP- cyclinD HBMECs. Additionally, treatment CM ionizing radiation (IR,  Gy)-treated cells resulted elevated CXCL, MMP- VEGF levels HBMECs, induced high levels endothelial capillary network formation matrigel, indicating IR-induced angiogenesis cells. Conversely, PAK-kd inhibited IR-induced angiogenesis decreased p-STAT, VEGF MMP- levels IR-treated HBMECS. Further, vivo experiments orthotopic intracranial tumors nude mice showed growth suppression PAK-knockdown tumors compared control tumors. Immunohistochemical analyses brain tumor sections revealed significant decrease CXCL, VEGF MMP- PAK.sh tumors. In summary, studies emphasize novel regulation angiogenic switch endothelial CXCL/CXCR signaling PAK tumor cells, thereby, suggests role PAK critical mediator tumor-endothelial cell interactions glioblastoma. Abrogation key angiogenic signaling IR treatment inhibition vivo tumor growth PAK suppression indicates therapeutic potential treatment glioma."
39,1626,1626,Excluded,"Blood peroxidase activity patients cerebral atherosclerosis receiving microwave resonance therapy. [Russian]. Results submitted studies designed measure peroxidase activity blood  patient presenting atherosclerosis-associated cerebrovascular disorders, receiving microwave resonance therapy. Those patients presenting cerebrovascular pathology proved peroxidation syndrome evidenced analysis studies made. The syndrome reversed aid microwave resonance therapy."
42,4045,239,Excluded,"Acute complications following gamma knife radiosurgery rare. BACKGROUND: Gamma knife radiosurgery (GKR) safe effective alternative surgery intracranial lesions. Most studies evaluating toxicity GKR concentrated delayed radiation effects. METHODS: We retrospectively reviewed  consecutive GKR cases early (within  days) neurological complications death. RESULTS: We identified total  patients (.%) neurological event death. Five (.%) patients developed new focal deficits,  (.%) patients experienced seizure three (.%) deaths. Two deaths related development seizures neurological deterioration. One death caused respiratory arrest related patient's primary cancer. Of five patients neurological deficits, none persistent deficit. In two cases neurological deficits due increase edema. Whether occurred result gamma knife treatment natural progression tumor unclear. CONCLUSIONS: Complications GKR uncommon risk permanent deficit arising acute neurological event exceedingly low."
45,5,5,Excluded,"Combination pGL-TNF-alpha gene radiation (proton gamma-ray) therapy brain tumor. The major goal study determine treatment newly constructed plasmid vector tumor necrosis factor-alpha (pGL-TNF-alpha) could enhance radiation-induced growth reduction C rat glioma. In addition, two different forms ionizing radiation (gamma-rays protons) utilized. Body spleen mass, leukocyte blastogenesis, flow cytometry analysis cell populations blood spleen performed detect toxicity, any, identify mechanisms may correlate anti-tumor action combination therapy. C tumor cells implanted subcutaneously athymic mice allowed become established treatment initiation. pGL-TNF-alpha injected implanted tumors, irradiated - hr later; modality administered three times - days. The addition pGL-TNF-alpha significantly enhanced anti-tumor effect radiation (p < .). The effect additive, since pGL-TNF-alpha alone slow tumor progression radiation alone modest effect. Administration pGL-TNF-alpha together proton radiation resulted tumor volumes % smaller following pGL-TNF-alpha + gamma-ray treatment; similar differential tumor size observed groups receiving radiation. Body weights blood spleen cell analyses reveal treatment-related toxicity. High basal proliferation blood leukocytes increased B cell levels spleen associated pGL-TNF-alpha + Co (gamma-radiation) proton treatment. Overall, suggest pGL-TNF-alpha/radiation combination effective safe conditions employed. This first study combine gene proton radiation therapy show, controlled experimental conditions, proton radiation may greater effect malignant tumors compared physical dose gamma-radiation."
48,4228,0,Excluded,"Electrophysiological characterisation central sensitisation canine spontaneous osteoarthritis In man, central sensitisation (CS) contributes pain osteoarthritis (OA). Dogs spontaneous OA may also exhibit CS. Electrophysiological reflex objective behavioural assessments used evaluate CS preclinical clinical studies. It hypothesised dogs suffering OA would exhibit electrophysiological characteristics indicative CS, associated reduced diffuse noxious inhibitory controls (DNICs). One hundred seventeen client-owned dogs recruited study. Hind limb nociceptive withdrawal reflex thresholds, stimulus response, temporal summation characteristics recorded, alfaxalone anaesthesia,  OA dogs,  OA dogs receiving nonsteroidal anti-inflammatory drugs (OANSAIDs),  breed- weight-matched control dogs. Efficacy DNIC evaluated  control  OA dogs, application mechanical conditioning stimulus contralateral forelimb. Nociceptive withdrawal reflex thresholds higher OA compared control dogs (P = .). Stimulus response characteristics demonstrated augmented response OANSAID dogs compared OA (P < .) control (P < .) dogs. Temporal summation demonstrated exaggerated C-fibre-mediated responses OA (P < .) OANSAID (P = .) groups, compared control animals. Conditioning stimulus application resulted inhibition test reflex responses OA control animals (P < .); control animals demonstrated greater inhibition compared OA (P = .). These data provide evidence neurophysiological changes consistent CS dogs spontaneous OA demonstrate canine OA associated reduced DNIC."
49,3667,3667,Included,"Treatment spinal cord ependymomas surgery without postoperative radiotherapy. Purpose: To evaluate effectiveness complete resection postoperative radiotherapy spinal cord ependymomas. Methods materials: We conducted retrospective study  patients ( males  females) histologically confirmed spinal cord ependymomas July  April . Among them,  patients ependymomas,  myxopapillary ependymomas,  anaplastic ependymoma. All patients received radical surgery tumor removal  patients achieving complete resection  incomplete resection due technical difficulty. Among incomplete resection,  patients received postoperative radiotherapy tumor bed one patient anaplastic ependymoma received surgery alone. The total tumor dose ranged   Gy. Result(s): Among  patients,  patients alive showed local control. The median survival time patients  months,  months complete resection alone group  months incomplete resection postoperative radiotherapy group. One patient anaplastic ependymoma postoperative radiotherapy developed leptomeningeal seeding  months surgery. Salvage therapy radiotherapy chemotherapy maintained normal neurological functions. The patient expired  months initial diagnosis due progression leptomeningeal seeding. Conclusion(s): Complete resection alone spinal cord ependymoma achieve excellent local control survival. Patients receive complete resection technically possible. Postoperative radiotherapy recommended complete resection. For incomplete resection, postoperative local radiotherapy recommended also achieve excellent local control survival. Local radiotherapy - Gy effective safe. Salvage radiotherapy improves quality life local recurrence leptomeningeal seeding patients. © Springer ."
51,4844,616,Excluded,"Impact reconstruction algorithms CT-based attenuation correction I--Ioflupane SPECT AIMD opamine transporter scintigraphy <sup></sup>I FP-CIT established part diagnosis parkinsonism. The consistency qualitative semi-quantitative analysis still debate. In study SPECT images analyzed order evaluate variability among different attenuation correction techniques reconstruction algorithms, well intra-operator dependence. MATERIALS AND METHODS Integrated SPECT-TC acquisitions (Siemens SymbiaIntevo, x,  views, s/view;  kV,mm) performed  patients (M,F) suspected Parkinson's disease administration <sup></sup>I-ioflupane. Images reconstructed FBP algorithm without attenuation correction (FBP-NOAC) Iterative algorithm (FlashD, #iterations, #subset) CT low-dose attenuation correction map (IT-AC) uniform Chang's matrix (IT-Chang). Two experienced physicians, unaware reconstruction-attenuation correction methods, inspected qualitatively images assigned negative, positive doubtful score. Percentage differences physicians well among calculated. To investigate possibility distinguish positive negative patients semi-quantitative way, specific-to-background ratios caudate putamen calculated drawing volume interest areas. The diagnostic power tested using ROC analysis. AUC compared (Hanley McNeil z-values) order find statistical significant discrepancies individuate best images processing method. RESULTS In qualitative analysis first physician gave assessment second one / ( %) images reconstructed FBP-Chang ; value increased /  (%) FBP-NOAC method / (%) IT-AC method. Also comparing images within observer differences found. For first physician FBP-Chang FBP-NOAC showed discrepancies / (,%) patient / (%) IT-AC; second assessor IT-Chang variability (/) becomes greater patients comparisons FBP-NOAC / (%) IT-AC / (%) methods. Similar AUC values found among tree caudate putamen slightly higher value IT-Chang method (caudate right . left ., putamen right . left .). When AUCs compared z-values always lower . confirmed low-dose CT attenuation correction method significantly improved diagnostic power. CONCLUSION The impact CT-based attenuation correction compared (Chang FBP-NOAC) interpretation of<sup></sup>I-ioflupane SPECT images negligible. Therefore CT-based AC cannot recommended routine use clinical patient care, least additional radiation exposure."
52,2474,2474,Included,"Does robotic platform reduce morbidity associated combined radical surgery adjuvant radiation early cervical cancer?. Objectives: Open radical hysterectomy (RH) followed adjuvant radiation (XRT) cervical cancer associated high morbidity; however, RHs often performed robotically. We examined robotic platform decreases morbidity associated radical surgery followed adjuvant XRT. Method(s): A retrospective cohort study patients cervical cancer undergoing RH - performed. Clinical pathologic data obtained medical record. Long-term (LT) complications defined urinary and/or bowel complications, lymphedema presenting  days completion therapy. Complications graded. Grade  mild symptoms easily treated. Grade  symptoms resolving long-term medical therapy. Grade  major symptoms requiring surgery invasive procedures. The X<sup></sup> student tests used analysis. Result(s): Overall,  patients underwent RH cervical cancer. The open surgical approach used % (n = ) robotic approach used % (n = ). Eighty-three patients (.%) required adjuvant XRT. XRT associated increased risk LT complication (.% vs .% P <.). LT complications included lymphedema (n = ), bowel-associated complications (enteritis/proctitis n = , obstruction n = ), urinary complications (hemorrhagic cystitis n = , neurogenic bladder n = , fistula n = , ureteral stricture n = ). Among patients received adjuvant XRT, open surgical approach used % (n = ) robotic approach % (n = ). There difference time initiation XRT  surgical groups (. +/- . vs . +/- . days, P =.). There difference grade / LT complications patients receiving adjuvant XRT groups (.% vs .%, P =.). However, patients undergoing open surgery experienced trend toward increased adhesion-related complications, bowel obstruction ureteral stricture (% vs .%, P =.). Conclusion(s): We found difference LT complications patients underwent robotic underwent open RH adjuvant XRT. Fewer adhesion-related LT complications may seen robotic surgery. However, many XRT-related complications occur later time points, continued follow-up needed evaluate potential differences  groups."
54,4106,300,Excluded,"Visual symptoms retinal straylight laser peripheral iridotomy: Zhongshan Angle-Closure Prevention Trial. OBJECTIVE: To assess impact laser peripheral iridotomy (LPI) forward-scatter light subjective visual symptoms identify LPI parameters influencing phenomena. DESIGN: Cohort study derived randomized trial, using external control group. PARTICIPANTS: Chinese subjects initially aged  older  years younger bilateral narrow angles undergoing LPI  eye selected random, age- gender-matched controls. METHODS: Eighteen months laser, LPI-treated subjects underwent digital iris photography photogrammetry characterize size location LPI, Lens Opacity Classification System III cataract grading, measurement retinal straylight (C-Quant; OCULUS, Wetzlar, Germany) treated untreated eyes completed visual symptoms questionnaire. Controls answered questionnaire underwent straylight measurement (in random one-sixth sample) cataract grading. MAIN OUTCOME MEASURES: Retinal straylight levels subjective visual symptoms. RESULTS: Among  LPI-treated subjects ( [.%] LPI totally covered lid,  [.%] LPI partly covered lid,  [.%] LPI uncovered lid),  (.%) completed testing,  (.%)  controls. Age, gender, prevalence visual symptoms differ treated subjects controls, although nuclear (P<.) cortical (P = .) cataract less common among controls. Neither presenting visual acuity straylight score differed treated untreated eyes among treated persons, among (n = ) LPI partially totally uncovered. Prevalence subjective glare differ significantly participants totally covered LPI (.%; % confidence interval [CI], .%-.%), partially covered LPI (.%; % CI, .%-.%), totally uncovered LPI (.%; % CI, .%-.%). In regression models, worse cortical cataract grade (P = .) associated significantly straylight score, predictors associated subjective glare. None LPI size location parameters associated straylight subjective symptoms. CONCLUSIONS: These suggests LPI safe regarding straylight visual symptoms. This randomized provides strong evidence treatment programs narrow angles would unlikely result important medium-term visual disability."
57,3484,3484,Excluded,"Comparison efficacy safety tropisetron, metoclopramide, chlorpromazine treatment emesis associated far advanced cancer. BACKGROUND. A single institution, prospective, randomized trial performed terminal cancer patients compare tropisetron (TRO), metoclopramide (MET), chlorpromazine (CHL) management nausea emesis. Patients far advanced cancer, far removed chemotherapy radiotherapy, nausea emesis due bowel obstruction, drug intake, cranial, electrolytic, metabolic causes. The effects antiemetic treatments evaluated Days -. METHODS. Two hundred eighty patients randomized receive ) MET+ dexamethasone (DEX) ( mg*  mg*l, respectively, orally), ) TRO ( mg*l, orally), ) TRO + MET ( mg*l  mg*, respectively, orally), ) TRO + MET + DEX ( mg*l,  mg*,  mg*l, respectively, orally), ) CHL + DEX ( mg*  mg*l, respectively, orally), ) TRO + CHL ( mg*l . mg*, respectively, orally), ) TRO + CHL + DEX ( mg*l, . mg*,  mg*l, respectively, orally). Total control defined nausea emesis. RESULTS. By end th day, total control emesis obtained .% ( ) MET + DEX patients, .% ( ) TRO patients, .% ( ) TRO + MET patients, .% ( ) TRO + MET + DEX patients, . ( ) CHL + DEX patients, .% ( ) TRO + CHL patients, .% ( ) TRO + CHL + DEX patients. Total control nausea achieved .% ( ) MET + DEX patients, .% ( ) TRO patients, .% ( ) TRO + MET patients, .% ( ) TRO + MET + DEX patients, .% ( ) CHL + DEX patients, .% ( ) TRO + CHL patients, % ( ) TRO + CHL + DEX patients. When comparing MET + DEX versus TRO; MET + DEX versus TRO + MET; MET + DEX versus TRO + MET + DEX; MET + DEX versus TRO + CHL; MET + DEX versus TRO + CHL + DEX; CHL + DEX versus TRO; CHL + DEX versus TRO + MET; CHL + DEX versus TRO + MET + DEX; CHL + DEX versus TRO + CHL; CHL + DEX versus TRO + CHL + DEX, significant differences noted. All antiemetic drugs well tolerated severe side effects observed treatment arm. CNCLUSIONS. These data suggest -HT receptor antagonists tropisetron clinically effective control emesis patients far advanced cancer previously used agents. This study raises important issues attempting decide antiemetic therapy choose individual patient far advanced disease."
58,2852,2852,Included,"Paralysis following stereotactic spinal irradiation pigs suggests tolerance constraint single-session irradiation spinal nerve. BACKGROUND AND PURPOSE: Paralysis observed study vertebral bone tolerance single-session irradiation led study dose-related incidence motor peripheral neuropathy. MATERIALS AND METHODS: During bone tolerance study, cervical spinal nerves  minipigs received bilateral irradiation levels C-C distributed three dose groups mean maximum spinal nerve doses . +/- . Gy (n=), . +/- . Gy (n=), . +/- . Gy (n=). Changes developing gait group pigs receiving mean maximum dose . Gy - weeks led irradiation two additional animals. They received mean maximum dose . +/- . Gy (n=), targeted left spinal nerves C-C. The followup period one year. Histologic sections spinal cords available spinal nerves evaluated. MR imaging performed pigs . Gy group. RESULTS: No pig received maximum spinal nerve point dose <=. Gy experienced change gait pigs received >=. Gy experienced paralysis. Extensive degeneration fibrosis observed irradiated spinal nerves . Gy animals. All spinal cord sections normal. Irradiated spinal nerve regions showed increased thickness hypointensity MR imaging. CONCLUSION: The single-session tolerance dose cervical spinal nerves lies . . Gy model."
60,3994,188,Excluded,"A case AIDS-associated primary CNS lymphoma difficult differentiate toxoplasmic encephalitis clinical symptoms, neuroimages, therapeutic responses. [Japanese]. We reported -year-old Thai woman developed primary CNS lymphoma (PCNSL) associated acquired immunodeficiency syndrome. It difficult distinguish PCNSL toxoplasmic encephalitis case clinical symptoms, findings CT MRI, therapeutic responses toxoplasmosis. It important make definite diagnosis PCNSL brain biopsy treat appropriately, disorder could fatal treated corticosteroid, radiation, proper methods."
63,3100,3100,Excluded,"Genetic delivery miRNA cluster polycistronic siRNAs reduces expression epidermal growth receptor human glioblastoma cells. Glioblastoma multiforme (GBM), common malignancy brain, grade IV astrocytoma. It one rapidly growing invasive types glial tumors. The standard therapy includes surgical removal, radiation chemotherapy median survival  months. In addition, systemic therapies limited blood-brain barrier. To bypass barrier, developing gene delivery strategy inhibit expression tyrosine kinase receptors (TKR), commonly upregulated GBM. One TKR, epidermal growth factor receptor (EGFR), overexpressed GBM leading uncontrolled growth proliferation. Our approach recruit RNA interference pathway. Although small interfering RNAs (siRNAs) often utilized silence gene expression, exogenously expressed siRNAs effective strategy treat human disease due extracellular intracellular nucleases well activation cellular immunity foreign nucleic acids. To bypass degradatory mechanisms, use natural miRNA cluster genetic effectively deliver DNA encoding multiple anti-EGFR siRNAs inserting tertiary structure miRNA cluster, miR--. The anti-EGFR polycistronic miRNA cluster (pAAV-miR-IP) expresses six siRNAs directed EGFR, specifically targeting extracellular ligand binding domain, transmembrane domain, intracellular tyrosine kinase domain ' untranslated region EGFR transcript. The vector, pAAV-miR-IP, transfected human GBM cell lines, A UMG. Results demonstrate pAAV-miR-IP expressed high levels subsequent reduction EGFR mRNA expression. Additional strategies include using polycistronic delivery mechanism target multiple TKRs addition EGFR."
