,Unnamed: 0,titles,abstracts,decision,titleabstract
963,963,Phase I trial escalated doses targeted marrow/lymphoid irradiation (TMLI) delivered tomotherapy combined etoposide cyclophosphamide; allogeneic HCT preparative regimen patients refractory leukemia,"Introduction: The overall survival (OS) relapsed (RL) acute leukemia patients considered induction failure (IF) treated HCT -% (Duval et al., JCO ). While randomized studies shown dose response relationship, higher doses radiation resulting decreased relapse, benefit set increased treatment related mortality. Materials (or patients) Methods: To explore safety tolerability targeted radiation treatment context HCT, phase I trial conducted escalated doses targeted whole body radiation delivered marrow bearing lymphoid areas, sparing non hematopoietic (vital) organs. The transplant preparative regimen follows: TMLI days - -; etoposide mg/kg [adj bw] day - cyclophosphamide mg/kg [ideal bw] day -. The radiation dose started cGy delivered  cGy fractions twice day. Initially dose radiation escalated increments  cGy  cGy using standard x  cGy incrementally maximum  cGy using rolling  design. Dose limiting toxicity defined according Bearman CTCAE . (for hematologic toxicity) scales. Liver brain dose kept  cGy. Median normal organs received -% marrow dose (lung %, esophagus % oral cavity %). All patients received peripheral blood stem cells day . GVHD prophylaxis consisted tacrolimus sirolimus. Result(s): To date, total  patients transplanted; // //. Patient characteristics: AML n=, ALL Ph- n=, ALL Ph+ n=, Biphenotypic n=; disease status HCT, RL n=, RL n=, IF n=; cytogenetic risk(SWOG criteria): intermediate n=, unfavorable n= unknown significance n= median KPS HCT  (-); donor source sibling n=, HLA matched unrelated n=, mismatched ( allele) unrelated n=; WBC HCT median . (.-.) % blasts (blood) HCT median % (-%) % blasts (marrow) HCT median % (-%) Two patients presented extramedullary disease time HCT. With median follow-up alive patients . months (.- .), OS cumulative incidence relapse/progression  year % (%CI: .-.) % (%CI: .-.) respectively. Two patients currently treated  cGy dose, MTD declared. All patients treated >=  cGy achieved CR day  post transplant evaluation. Twenty (%) patients developed acute GvHD; (%) developed grades -. The day  day  NRM % .% respectively. The common toxicity across dose levels tested grade  GI grade  stomatitis (Bearman Scale). Causes death disease progression/persistent disease n=, GvHD n= infection n=. Discussion(s): These encouraging suggest ) doses TMLI safely escalated  cGy combination etoposide cyclophosphamide (MTD reached, dose escalation continue  cGy); ) patients treated >= cGy achieved CR day  evaluation ) reduction relapse/progression compared published reports achieved without increasing NRM using targeted whole body radiation high risk population.",Excluded,"Phase I trial escalated doses targeted marrow/lymphoid irradiation (TMLI) delivered tomotherapy combined etoposide cyclophosphamide; allogeneic HCT preparative regimen patients refractory leukemia. Introduction: The overall survival (OS) relapsed (RL) acute leukemia patients considered induction failure (IF) treated HCT -% (Duval et al., JCO ). While randomized studies shown dose response relationship, higher doses radiation resulting decreased relapse, benefit set increased treatment related mortality. Materials (or patients) Methods: To explore safety tolerability targeted radiation treatment context HCT, phase I trial conducted escalated doses targeted whole body radiation delivered marrow bearing lymphoid areas, sparing non hematopoietic (vital) organs. The transplant preparative regimen follows: TMLI days - -; etoposide mg/kg [adj bw] day - cyclophosphamide mg/kg [ideal bw] day -. The radiation dose started cGy delivered  cGy fractions twice day. Initially dose radiation escalated increments  cGy  cGy using standard x  cGy incrementally maximum  cGy using rolling  design. Dose limiting toxicity defined according Bearman CTCAE . (for hematologic toxicity) scales. Liver brain dose kept  cGy. Median normal organs received -% marrow dose (lung %, esophagus % oral cavity %). All patients received peripheral blood stem cells day . GVHD prophylaxis consisted tacrolimus sirolimus. Result(s): To date, total  patients transplanted; // //. Patient characteristics: AML n=, ALL Ph- n=, ALL Ph+ n=, Biphenotypic n=; disease status HCT, RL n=, RL n=, IF n=; cytogenetic risk(SWOG criteria): intermediate n=, unfavorable n= unknown significance n= median KPS HCT  (-); donor source sibling n=, HLA matched unrelated n=, mismatched ( allele) unrelated n=; WBC HCT median . (.-.) % blasts (blood) HCT median % (-%) % blasts (marrow) HCT median % (-%) Two patients presented extramedullary disease time HCT. With median follow-up alive patients . months (.- .), OS cumulative incidence relapse/progression  year % (%CI: .-.) % (%CI: .-.) respectively. Two patients currently treated  cGy dose, MTD declared. All patients treated >=  cGy achieved CR day  post transplant evaluation. Twenty (%) patients developed acute GvHD; (%) developed grades -. The day  day  NRM % .% respectively. The common toxicity across dose levels tested grade  GI grade  stomatitis (Bearman Scale). Causes death disease progression/persistent disease n=, GvHD n= infection n=. Discussion(s): These encouraging suggest ) doses TMLI safely escalated  cGy combination etoposide cyclophosphamide (MTD reached, dose escalation continue  cGy); ) patients treated >= cGy achieved CR day  evaluation ) reduction relapse/progression compared published reports achieved without increasing NRM using targeted whole body radiation high risk population."
965,965,FTIR spectroscopy studies nucleic acid damage,"Fourier transform infrared (FTIR) spectra RNA isolated tumour brain (glioma) DNA isolated low-dose gamma-irradiated epididymis cells rats Chernobyl accident zone investigated - cm(-) region. The total absorbed radiation doses equal less  cGy. Observed changes FTIR spectra represent damage primary, secondary tertiary structure nucleic acid, seem connected modification bases sugars, redistribution H-bond network. FTIR data tumour gamma-irradiated nucleic acid show similar features. A great amount statistical data good mathematical approaches needed use data diagnostic criteria.",Included,"FTIR spectroscopy studies nucleic acid damage. Fourier transform infrared (FTIR) spectra RNA isolated tumour brain (glioma) DNA isolated low-dose gamma-irradiated epididymis cells rats Chernobyl accident zone investigated - cm(-) region. The total absorbed radiation doses equal less  cGy. Observed changes FTIR spectra represent damage primary, secondary tertiary structure nucleic acid, seem connected modification bases sugars, redistribution H-bond network. FTIR data tumour gamma-irradiated nucleic acid show similar features. A great amount statistical data good mathematical approaches needed use data diagnostic criteria."
966,966,The prospective self-controlled study two different percutaneous pedicle screw insertion positions treatment thoracolumbar fracture seven-year minimum follow-up,"Purpose: To test hypothesis different percutaneous pedicle screw insertion position would increase likelihood facet joint injury degeneration. Method(s): This prospective study included  patients one-level neurological intact thoracolumbar fracture. From January  December , patients randomized underwent posterior reduction percutaneous pedicle fixation using two different insertion techniques. The patients followed postoperatively assessed regard radiological clinical outcomes. Radiologic outcomes assessed mainly basis vertebral body height, kyphotic angle facet joint degeneration. Clinical outcomes evaluated mainly use visual analog scale (VAS) pain Oswestry Disability Index (ODI). Result(s): The operation completed successfully  patients. All patients follow-up average  months. There significant differences percutaneous pedicle fixation time radiation dose two insertion techniques. In transverse processpedicle group (TG), length pedicle screw significantly longer control group (CG). Preoperative kyphotic angle vertebral body height significantly improved surgery, well maintained last follow-up. There significant differences occurrence facet joint degeneration  grade two groups (TG: vs. CG:). All patients significantly improvement VAS ODI scores surgery, compared preoperative period. In control group,  patients obvious pain puncture sites  month postoperatively caused facet joint violation. With local block treatment, pain disappeared patients last follow-up. Conclusion(s): The degeneration facet joint closely related position pedicle screw rod minimally invasive surgery. Compared traditional puncture technique, transverse process-pedicle puncture technique reduce facet joint degeneration caused pedicle screw violation rod stress, provide enough space transpedicular interbody bone grafting.",Excluded,"The prospective self-controlled study two different percutaneous pedicle screw insertion positions treatment thoracolumbar fracture seven-year minimum follow-up. Purpose: To test hypothesis different percutaneous pedicle screw insertion position would increase likelihood facet joint injury degeneration. Method(s): This prospective study included  patients one-level neurological intact thoracolumbar fracture. From January  December , patients randomized underwent posterior reduction percutaneous pedicle fixation using two different insertion techniques. The patients followed postoperatively assessed regard radiological clinical outcomes. Radiologic outcomes assessed mainly basis vertebral body height, kyphotic angle facet joint degeneration. Clinical outcomes evaluated mainly use visual analog scale (VAS) pain Oswestry Disability Index (ODI). Result(s): The operation completed successfully  patients. All patients follow-up average  months. There significant differences percutaneous pedicle fixation time radiation dose two insertion techniques. In transverse processpedicle group (TG), length pedicle screw significantly longer control group (CG). Preoperative kyphotic angle vertebral body height significantly improved surgery, well maintained last follow-up. There significant differences occurrence facet joint degeneration  grade two groups (TG: vs. CG:). All patients significantly improvement VAS ODI scores surgery, compared preoperative period. In control group,  patients obvious pain puncture sites  month postoperatively caused facet joint violation. With local block treatment, pain disappeared patients last follow-up. Conclusion(s): The degeneration facet joint closely related position pedicle screw rod minimally invasive surgery. Compared traditional puncture technique, transverse process-pedicle puncture technique reduce facet joint degeneration caused pedicle screw violation rod stress, provide enough space transpedicular interbody bone grafting."
969,969,Helical tomotherapy: Experiences first  patients Heidelberg,"Background Purpose: Helical tomotherapy introduced clinical routine Department Radiation Oncology, University Hospital Heidelberg, Germany, July . This report intended describe experience first  patients treated helical tomotherapy. Patient selection, time effort, handling daily image guidance megavoltage (MV) CT, quality radiation plans shall assessed. Patients Methods: Between July  May ,  patients treated helical tomotherapy University Hospital Heidelberg. Mean age  years minimum  years maximum  years.  patients received radiotherapy part multimodal treatment pre- postoperatively,  patients received treatment combined radiochemotherapy. % treated curative intent. Radiotherapy sites central nervous system (n = ), head neck (n = ), thoracic (n = ), abdominal (n = ) skeletal system (n = ). Most common tumor entities prostate cancer (n = ), breast cancer (n = ), gastrointestinal tumors (n = ), pharyngeal carcinoma (n = ), lymphoma (n = ), metastatic disease (bone n = , liver n = , lung n = , lymph node n = ), sarcoma (n = ), malignant pleural mesothelioma (n = ), ovarian cancer treated whole abdominal irradiation (n = ), lung cancer (n = ), skin malignancies (n = ), chordoma (n = ), meningioma (n = ), one ependymoma one medulloblastoma treated craniospinal axis irradiation (n = ), others (n = ). Nine patients treated single-fraction radiosurgery, nine image-guided spinal reirradiation, twelve patients treated multiple targets simultaneously. A pretreatment MV-CT scan performed .% , fractions applied. After matching kilovoltage planning CT, corrections translations rotation around longitudinal axis (roll) done. Result(s): Mean time table . min mentioned tumor entities fractionated radiation, mean treatment time . min. Mean correction vector MV-CT registration . mm. With helical tomotherapy possible achieve highly conformal dose distributions targets sizes multiple targets within one procedure. Image guidance MV-CT allowed daily position correction safe precise treatment application. This feasible even desired immobilization possible due obesity, claustrophobia, pain, neurologic orthopedic impairment. Conclusion(s): Helical tomotherapy daily image guidance MV-CT could fast introduced daily clinical routine. This technique allows precise intensity-modulated radiotherapy (IMRT) standard cases offers new treatment options huge variety difficult cases. ©  Urban & Vogel.",Excluded,"Helical tomotherapy: Experiences first  patients Heidelberg. Background Purpose: Helical tomotherapy introduced clinical routine Department Radiation Oncology, University Hospital Heidelberg, Germany, July . This report intended describe experience first  patients treated helical tomotherapy. Patient selection, time effort, handling daily image guidance megavoltage (MV) CT, quality radiation plans shall assessed. Patients Methods: Between July  May ,  patients treated helical tomotherapy University Hospital Heidelberg. Mean age  years minimum  years maximum  years.  patients received radiotherapy part multimodal treatment pre- postoperatively,  patients received treatment combined radiochemotherapy. % treated curative intent. Radiotherapy sites central nervous system (n = ), head neck (n = ), thoracic (n = ), abdominal (n = ) skeletal system (n = ). Most common tumor entities prostate cancer (n = ), breast cancer (n = ), gastrointestinal tumors (n = ), pharyngeal carcinoma (n = ), lymphoma (n = ), metastatic disease (bone n = , liver n = , lung n = , lymph node n = ), sarcoma (n = ), malignant pleural mesothelioma (n = ), ovarian cancer treated whole abdominal irradiation (n = ), lung cancer (n = ), skin malignancies (n = ), chordoma (n = ), meningioma (n = ), one ependymoma one medulloblastoma treated craniospinal axis irradiation (n = ), others (n = ). Nine patients treated single-fraction radiosurgery, nine image-guided spinal reirradiation, twelve patients treated multiple targets simultaneously. A pretreatment MV-CT scan performed .% , fractions applied. After matching kilovoltage planning CT, corrections translations rotation around longitudinal axis (roll) done. Result(s): Mean time table . min mentioned tumor entities fractionated radiation, mean treatment time . min. Mean correction vector MV-CT registration . mm. With helical tomotherapy possible achieve highly conformal dose distributions targets sizes multiple targets within one procedure. Image guidance MV-CT allowed daily position correction safe precise treatment application. This feasible even desired immobilization possible due obesity, claustrophobia, pain, neurologic orthopedic impairment. Conclusion(s): Helical tomotherapy daily image guidance MV-CT could fast introduced daily clinical routine. This technique allows precise intensity-modulated radiotherapy (IMRT) standard cases offers new treatment options huge variety difficult cases. ©  Urban & Vogel."
972,972,Predictive biomarkers improving radiation therapy,"Radiotherapy important treatment modality millions patients cancer worldwide. Current treatment decisions take account individual patients' cohorts patients' sensitivities treatment modality. As such, patients treated radiation therapy experience large variation normal tissue toxicity doselimiting acute irreversible progressive side effects. Important examples adverse effects include mucositis, pneumonitis, cognitive damage, respectively representing acute, intermediate, late effects. Stratification patients based radiation sensitivities allow delivery suitable alternative treatments high-risk patients dose escalation tumors less sensitive patients. Current focus radiation biomarkers/biodosimeters appears primarily assess radiation doses catastrophic accidental radiation exposure. Recent advances brought together several cross-disciplinary areas biological assays, analytical platforms, algorithms rapidly assess dose individuals. These technologies different maturation levels. This immense progress also opportunity use predict heterogeneity radiation sensitivities among cancer patients improve radiation therapy outcome quality life. This talk emphasize need discovery, development, validation predictive biomarkers, provide examples biomarkers, discuss translational challenges involved leveraging advances radiation-specific biomarker research radiotherapy, foreseeable future likely remain cornerstone cancer treatment.",Excluded,"Predictive biomarkers improving radiation therapy. Radiotherapy important treatment modality millions patients cancer worldwide. Current treatment decisions take account individual patients' cohorts patients' sensitivities treatment modality. As such, patients treated radiation therapy experience large variation normal tissue toxicity doselimiting acute irreversible progressive side effects. Important examples adverse effects include mucositis, pneumonitis, cognitive damage, respectively representing acute, intermediate, late effects. Stratification patients based radiation sensitivities allow delivery suitable alternative treatments high-risk patients dose escalation tumors less sensitive patients. Current focus radiation biomarkers/biodosimeters appears primarily assess radiation doses catastrophic accidental radiation exposure. Recent advances brought together several cross-disciplinary areas biological assays, analytical platforms, algorithms rapidly assess dose individuals. These technologies different maturation levels. This immense progress also opportunity use predict heterogeneity radiation sensitivities among cancer patients improve radiation therapy outcome quality life. This talk emphasize need discovery, development, validation predictive biomarkers, provide examples biomarkers, discuss translational challenges involved leveraging advances radiation-specific biomarker research radiotherapy, foreseeable future likely remain cornerstone cancer treatment."
975,975,Dynamics Ca(+) Na(+) dendrites mouse cerebellar Purkinje cells evoked parallel fibre stimulation,"Ca+ Na+ play important roles neurons, synaptic plasticity. Their concentrations neurons change dynamically response synaptic inputs, kinetics compared directly. Here, show mechanisms dynamics Ca+ Na+ transients simultaneous monitoring Purkinje cell dendrites mouse cerebellar slices. High frequency parallel fibre stimulation ( Hz, --times) depolarized Purkinje cells, Ca+ transients observed anatomically expected sites. The magnitude Ca+ transients increased linearly increasing numbers parallel fibre inputs. With  stimuli, Ca+ transients lasted seconds, peak [Ca+] reached approximately  microm, much higher reported previously, although still confined part dendrite. In contrast, Na+ transients sustained tens seconds diffused away stimulated site. Pharmacological interventions revealed Na+ influx alpha-amino--hydroxy--methyl--isoxazolepropionic acid (AMPA) receptors Ca+ influx P-type Ca channels essential players, AMPA receptors operate Ca+ influx pathway Ca+ release intracellular stores inositol trisphosphate receptors ryanodine receptors contribute greatly large Ca+ transients.",Excluded,"Dynamics Ca(+) Na(+) dendrites mouse cerebellar Purkinje cells evoked parallel fibre stimulation. Ca+ Na+ play important roles neurons, synaptic plasticity. Their concentrations neurons change dynamically response synaptic inputs, kinetics compared directly. Here, show mechanisms dynamics Ca+ Na+ transients simultaneous monitoring Purkinje cell dendrites mouse cerebellar slices. High frequency parallel fibre stimulation ( Hz, --times) depolarized Purkinje cells, Ca+ transients observed anatomically expected sites. The magnitude Ca+ transients increased linearly increasing numbers parallel fibre inputs. With  stimuli, Ca+ transients lasted seconds, peak [Ca+] reached approximately  microm, much higher reported previously, although still confined part dendrite. In contrast, Na+ transients sustained tens seconds diffused away stimulated site. Pharmacological interventions revealed Na+ influx alpha-amino--hydroxy--methyl--isoxazolepropionic acid (AMPA) receptors Ca+ influx P-type Ca channels essential players, AMPA receptors operate Ca+ influx pathway Ca+ release intracellular stores inositol trisphosphate receptors ryanodine receptors contribute greatly large Ca+ transients."
976,976,Effect whole body hyperthermia BCNU development radiation myelitis rat,"A radiant heat device used study interaction .degreeC whole body hyperthermia (WBH), radiation ( Gy) lipophilic anti-neoplastic agent BCNU development myelitis rat spinal cord. The addition WBH BCNU neither precipitated myelitis acutely shortened latency onset neurological signs irradiated animals.",Included,"Effect whole body hyperthermia BCNU development radiation myelitis rat. A radiant heat device used study interaction .degreeC whole body hyperthermia (WBH), radiation ( Gy) lipophilic anti-neoplastic agent BCNU development myelitis rat spinal cord. The addition WBH BCNU neither precipitated myelitis acutely shortened latency onset neurological signs irradiated animals."
978,978,Delayed effects brain irradiation-part : Adrenocortical axis dysfunction hippocampal damage adult rat model,"Background: Brain irradiation (BI) humans may cause behavioral changes, cognitive impairment neuroendocrine dysfunction. The effect BI hypothalamic-pituitary-adrenal (HPA) axis fully understood. Objective(s): To evaluate effect BI HPA axis responses basal stressful conditions well following pretreatment dexamethasone (Dex). Method(s): Adult male rats exposed whole BI. HPA axis responses examined , ,   weeks BI. Histological evaluations irradiated rats matched controls conducted   weeks BI. Result(s): In contrast control group, basal stress-induced corticosterone levels enhanced   weeks BI inhibitory effect Dex reduced. BI also caused hyposuppression adrenocortical response stress. Histological assessment irradiated brains revealed hippocampal atrophy  weeks BI. The neuronal counts lower CA region irradiated brains. BI caused decrease binding capacity Dex hippocampal cytosolic fraction. Conclusion(s): Enhanced stress-induced HPA axis responses reduced effect Dex suggest BI delayed effects HPA axis responses manifested impairment negative feedback exerted glucocorticoids (GCs). The mechanisms underlying effects BI unknown. It possible marked BI-induced damage hippocampus, plays important role regulation feedback effect GCs, may cause abnormal HPA axis responses following BI. ©  S. Karger AG, Basel.",Included,"Delayed effects brain irradiation-part : Adrenocortical axis dysfunction hippocampal damage adult rat model. Background: Brain irradiation (BI) humans may cause behavioral changes, cognitive impairment neuroendocrine dysfunction. The effect BI hypothalamic-pituitary-adrenal (HPA) axis fully understood. Objective(s): To evaluate effect BI HPA axis responses basal stressful conditions well following pretreatment dexamethasone (Dex). Method(s): Adult male rats exposed whole BI. HPA axis responses examined , ,   weeks BI. Histological evaluations irradiated rats matched controls conducted   weeks BI. Result(s): In contrast control group, basal stress-induced corticosterone levels enhanced   weeks BI inhibitory effect Dex reduced. BI also caused hyposuppression adrenocortical response stress. Histological assessment irradiated brains revealed hippocampal atrophy  weeks BI. The neuronal counts lower CA region irradiated brains. BI caused decrease binding capacity Dex hippocampal cytosolic fraction. Conclusion(s): Enhanced stress-induced HPA axis responses reduced effect Dex suggest BI delayed effects HPA axis responses manifested impairment negative feedback exerted glucocorticoids (GCs). The mechanisms underlying effects BI unknown. It possible marked BI-induced damage hippocampus, plays important role regulation feedback effect GCs, may cause abnormal HPA axis responses following BI. ©  S. Karger AG, Basel."
981,981,Increased seroreactivity glioma-expressed antigen  brain tumor patients radiation,"BACKGROUND: Surgery radiation mainstays therapy human gliomas common primary brain tumors. Most recently, cell culture animal studies provided first convincing evidence radiation eliminates tumor cells, also modulates immune response likely improves anti-tumor immunotherapy. METHODOLOGY/PRINCIPAL FINDINGS: We present vivo study analyzes effects radiation immune response tumor patients. As readout system, utilized reactivity glioma patients' sera antigen GLEA frequent antigen immunogenic glioblastoma patients. We established ELISA assay analyze reactivity  glioblastoma patients period several months. As control used  sera healthy donors well  sera lung cancer patients. We compared course GLEA seroreactivity different times prior, radiation. The GLEA seroreactivity increased time surgery, decreased surgery, increased radiation, slightly decreased radiation. CONCLUSIONS/SIGNIFICANCE: Our provide vivo evidence increased antibody response tumor antigens radiation. Antigens become immunogenic increased antibody response result radiation serve ideal targets immunotherapy human tumors.",Excluded,"Increased seroreactivity glioma-expressed antigen  brain tumor patients radiation. BACKGROUND: Surgery radiation mainstays therapy human gliomas common primary brain tumors. Most recently, cell culture animal studies provided first convincing evidence radiation eliminates tumor cells, also modulates immune response likely improves anti-tumor immunotherapy. METHODOLOGY/PRINCIPAL FINDINGS: We present vivo study analyzes effects radiation immune response tumor patients. As readout system, utilized reactivity glioma patients' sera antigen GLEA frequent antigen immunogenic glioblastoma patients. We established ELISA assay analyze reactivity  glioblastoma patients period several months. As control used  sera healthy donors well  sera lung cancer patients. We compared course GLEA seroreactivity different times prior, radiation. The GLEA seroreactivity increased time surgery, decreased surgery, increased radiation, slightly decreased radiation. CONCLUSIONS/SIGNIFICANCE: Our provide vivo evidence increased antibody response tumor antigens radiation. Antigens become immunogenic increased antibody response result radiation serve ideal targets immunotherapy human tumors."
984,984,Radiation exposure fluoroscopy time mechanical thrombectomy anterior circulation ischemic stroke depending interventionalist's experience-a retrospective single center experience,"PURPOSE: To quantify influence interventionalist's experience procedure time, radiation exposure, fluoroscopy time mechanical thrombectomy (MT) anterior circulation. METHODS: Retrospective analysis institutional review board-approved stroke database comprehensive stroke center focusing radiation exposure (as per dose area product Gy x cm<sup></sup>, median [IQR]), procedure, fluoroscopy time (in minutes, median [IQR]) patients receiving MT anterior circulation ischemic stroke. Procedures assigned according interventionalist's experience MT three sequential groups: A = - procedures, B = - procedures, C =  procedures. RESULTS: Overall,  patients included analysis (A, n = ; B, n = ; C, n = ). Procedure times (A,  [-]; B,  [-], p value .), fluoroscopy times (A,  [-]; B,  [-], p value .) well radiation exposure (A, . [.-.]; B, . [.-.], p value .) significantly shorter, respectively lower group B group A. Procedure times (C,  [-]), fluoroscopy times (C,  [-]), radiation exposure (C, . [.-.]) group C also significantly shorter/lower group A (all p values < .), comparable group B (p values ., ., .). CONCLUSION: This retrospective analysis demonstrates significant influence interventionalist's experience procedure time, fluoroscopy time, radiation exposure mechanical thrombectomy anterior circulation. KEY POINTS: * There significant influence interventionalist's experience procedure time, fluoroscopy time, radiation exposure mechanical thrombectomy anterior circulation. * Interventionalists' learning curve steepest first  cases. * These circumstances considered reference levels guide values established training physicians performing mechanical thrombectomy promote optimization patient doses future.",Excluded,"Radiation exposure fluoroscopy time mechanical thrombectomy anterior circulation ischemic stroke depending interventionalist's experience-a retrospective single center experience. PURPOSE: To quantify influence interventionalist's experience procedure time, radiation exposure, fluoroscopy time mechanical thrombectomy (MT) anterior circulation. METHODS: Retrospective analysis institutional review board-approved stroke database comprehensive stroke center focusing radiation exposure (as per dose area product Gy x cm<sup></sup>, median [IQR]), procedure, fluoroscopy time (in minutes, median [IQR]) patients receiving MT anterior circulation ischemic stroke. Procedures assigned according interventionalist's experience MT three sequential groups: A = - procedures, B = - procedures, C =  procedures. RESULTS: Overall,  patients included analysis (A, n = ; B, n = ; C, n = ). Procedure times (A,  [-]; B,  [-], p value .), fluoroscopy times (A,  [-]; B,  [-], p value .) well radiation exposure (A, . [.-.]; B, . [.-.], p value .) significantly shorter, respectively lower group B group A. Procedure times (C,  [-]), fluoroscopy times (C,  [-]), radiation exposure (C, . [.-.]) group C also significantly shorter/lower group A (all p values < .), comparable group B (p values ., ., .). CONCLUSION: This retrospective analysis demonstrates significant influence interventionalist's experience procedure time, fluoroscopy time, radiation exposure mechanical thrombectomy anterior circulation. KEY POINTS: * There significant influence interventionalist's experience procedure time, fluoroscopy time, radiation exposure mechanical thrombectomy anterior circulation. * Interventionalists' learning curve steepest first  cases. * These circumstances considered reference levels guide values established training physicians performing mechanical thrombectomy promote optimization patient doses future."
986,986,Cellular Senescence Mouse Hippocampus After Irradiation Role p p,"Diverse stress signals including irradiation may trigger cellular senescence. We asked whether irradiation induced senescence mouse hippocampus, whether p p played role response. Following whole-brain irradiation, polymerase chain reaction (PCR) arrays senescence-associated genes showed increased expression CDKNA (p) CDKNA (pARF) mouse hippocampus  weeks. Upregulation p pARF confirmed using real-time PCR, also demonstrated increased CDKNA/pINKa expression irradiation. No altered regulation another  senescence-associated genes observed irradiation. Immunohistochemistry revealed increased nuclear expression pINKA, pARF, p, p, phosphorylated p (pp), -hydroxy--nonenal, interleukin- (IL) granule cells dentate gyrus irradiation. Increased p nuclear immunoreactivity observed type - cells, putative neural stem cells. gamma-phosphorylated-histone-A nuclear foci also seen dentate gyrus  weeks postirradiation. In nonirradiated mice knockout TRP p gene, increased pINKA, pARF, IL, pp dentate gyrus. We conclude irradiation induces transcript protein expression profile alterations mouse dentate gyrus consistent senescence phenotype. Absence p p increase baseline expression senescence markers increase expression irradiation.",Included,"Cellular Senescence Mouse Hippocampus After Irradiation Role p p. Diverse stress signals including irradiation may trigger cellular senescence. We asked whether irradiation induced senescence mouse hippocampus, whether p p played role response. Following whole-brain irradiation, polymerase chain reaction (PCR) arrays senescence-associated genes showed increased expression CDKNA (p) CDKNA (pARF) mouse hippocampus  weeks. Upregulation p pARF confirmed using real-time PCR, also demonstrated increased CDKNA/pINKa expression irradiation. No altered regulation another  senescence-associated genes observed irradiation. Immunohistochemistry revealed increased nuclear expression pINKA, pARF, p, p, phosphorylated p (pp), -hydroxy--nonenal, interleukin- (IL) granule cells dentate gyrus irradiation. Increased p nuclear immunoreactivity observed type - cells, putative neural stem cells. gamma-phosphorylated-histone-A nuclear foci also seen dentate gyrus  weeks postirradiation. In nonirradiated mice knockout TRP p gene, increased pINKA, pARF, IL, pp dentate gyrus. We conclude irradiation induces transcript protein expression profile alterations mouse dentate gyrus consistent senescence phenotype. Absence p p increase baseline expression senescence markers increase expression irradiation."
987,987,Targeting NF-E-related factor  pathway: A novel strategy glioblastoma (Review),"Glioblastoma common malignant subtype among brain tumors. Nuclear factor erythroid -related factor  (Nrf) essential component cellular defense variety endogenous exogenous stresses. A marked increase research past decades focusing Nrf role regulating glioblastoma revealed potential value Nrf treatment glioblastoma. In present review, discuss novel framework Nrf regulation glioblastoma mechanisms regarding downregulation Nrf treating glioblastoma. The candidate mechanisms include direct indirect means. Direct mechanisms target tumor molecular pathways order overcome resistance chemotherapy radiotherapy, inhibit proliferation, block invasion migration, induce apoptosis, promote differentiation, enhance autophagy target glioblastoma stem cells. Indirect mechanisms target reaction glioblastoma cells surrounding microenvironment. Overall, value Nrf pathway glioblastoma provides promising opportunity new approaches treat glioblastoma.",Excluded,"Targeting NF-E-related factor  pathway: A novel strategy glioblastoma (Review). Glioblastoma common malignant subtype among brain tumors. Nuclear factor erythroid -related factor  (Nrf) essential component cellular defense variety endogenous exogenous stresses. A marked increase research past decades focusing Nrf role regulating glioblastoma revealed potential value Nrf treatment glioblastoma. In present review, discuss novel framework Nrf regulation glioblastoma mechanisms regarding downregulation Nrf treating glioblastoma. The candidate mechanisms include direct indirect means. Direct mechanisms target tumor molecular pathways order overcome resistance chemotherapy radiotherapy, inhibit proliferation, block invasion migration, induce apoptosis, promote differentiation, enhance autophagy target glioblastoma stem cells. Indirect mechanisms target reaction glioblastoma cells surrounding microenvironment. Overall, value Nrf pathway glioblastoma provides promising opportunity new approaches treat glioblastoma."
988,988,Pions pig skin: preclinical evaluation RBE early late damage,"The skin  pigs irradiated negative pi mesons X rays order determine RBE early epidermal later dermal damage. Late fibrosis studied. Four, ,   fractions used. An estimate RBE made reactions pig early late damage interanimal variability would avoided. The data also averaged obtain mean dose response curves. There tendency higher RBE's late early skin damage. These pig studies demonstrated RBE . early epidermal reactions slightly lower RBE (approximately .) later dermal damage animals. This indicates doses . . Gy pions, medium wave skin damage unlikely severe would predicted early skin reactions accumulated clinical experience X rays. However, trend steeper slope RBE versus dose per fraction late injury correct, indicated published studies relative increase late injury might expected much lower doses per fraction used. The present clinical studies Vancouver using  X . Gy pions indicate RBE . appropriate epithelia, brain colorectum.",Included,"Pions pig skin: preclinical evaluation RBE early late damage. The skin  pigs irradiated negative pi mesons X rays order determine RBE early epidermal later dermal damage. Late fibrosis studied. Four, ,   fractions used. An estimate RBE made reactions pig early late damage interanimal variability would avoided. The data also averaged obtain mean dose response curves. There tendency higher RBE's late early skin damage. These pig studies demonstrated RBE . early epidermal reactions slightly lower RBE (approximately .) later dermal damage animals. This indicates doses . . Gy pions, medium wave skin damage unlikely severe would predicted early skin reactions accumulated clinical experience X rays. However, trend steeper slope RBE versus dose per fraction late injury correct, indicated published studies relative increase late injury might expected much lower doses per fraction used. The present clinical studies Vancouver using  X . Gy pions indicate RBE . appropriate epithelia, brain colorectum."
