,decision,titleabstract
10,Excluded,aggressive malignant prolactin pituitary tumors pathological diagnosis patient management according world health organization classification pituitary tumors tumors systemic metastasis must considered carcinomas invasive tumors multiple recurrences classified aggressive tumors atypical adenomas to illustrate problems encountered pathological diagnosis pituitary carcinoma patient management present two male operated aggressive prolactin pituitary adenoma without metastasis in case surgeries irradiations increased doses dopamine agonists trials temozolomide carboplatine vp failed control tumor progression appearance metastases lead death years onset in case based initial diagnosis aggressive invasive adenoma resistant dopamine agonists gamma knife irradiation initially performed intra cavernous remnant eight years onset remnant remained stabilized plasma prl normalized dopamine agonist from cases alongside cases found literature propose association certain clinical signs male sex dopamine resistant hyperprolactinemia radiological signs invasive macro giant tumor mri histological signs angiogenesis ki p positive mitoses per high power field vascular invasion up regulation genes related invasion proliferation allelic loss chromosome might suggest aggressiveness suspicious malignancy appearance metastasis the early detection aggressive phenotype prolactin pituitary tumor permit earlier establishment optimum therapeutic strategy associating surgery radiotherapy delay inhibit metastasis
11,Excluded,brachioradial pruritus cervical spine manipulation brachioradial pruritus brp causes significant morbidity majority effective treatment found chronic ultraviolet radiation exposure usually cited cause nerve damage cervical spine disease also implicated we report small retrospective exploratory study conducted questionnaire group treated specific cervical spine manipulation ten reported resolution symptoms following manipulative treatment all six previous cervical spine disease responded manipulation half remaining eight previous history neck symptoms although brp definition share similar symptoms aetiology almost certainly multifactorial prospective studies looking cervical spine disease well assessment particular cervical spine manipulation treatment modality brp considered
12,Excluded,neurotoxicity early prophylactic cranial radiation hippocampal avoidance sclc sakk to evaluate neurocognitive function ncf clinical outcomes early hippocampal avoidance ha prophylactic cranial irradiation pci limited disease ld small cell lung cancer sclc multicenter phase ii trial sakk material s s in phase ii trial ld sclc received ha pci gy fractions concomitant nd cycle chemotherapy cht thoracic radiotherapy all underwent ncf testing baseline weeks months ha pci ncf tests included hopkins verbal learning test revised hvlt r controlled oral word association cowat trail making tests tmt a b the primary endpoint ncf decline months ha pci we assumed rate ncf decline unpromising secondary endpoints included brain metastases free survival bmfs overall survival os safety concomitant treatment s among enrolled trial evaluable ncf assessment months ha pci the rate evaluable showing ncf decline months ci ci respectively figure median follow up months ci at months rate bmfs ci os ci four died due sclc due respiratory failure due hemorrhage unknown reason the frequently reported grade acute adverse events anemia febrile neutropenia fatigue figure presented s the rate showing ncf decline months early ha pci concomitant cht appear better rather similar observed receiving sequential pci without ha sup sup early ha pci ld sclc feasible observation promising bmfs os reference wolfson ah bae k komaki r et al primary analysis phase ii randomized trial radiation therapy oncology group rtog impact different total doses schedules prophylactic cranial irradiation chronic neurotoxicity quality life with limited disease small cell lung cancer int j radiat oncol biol phys copyright elsevier ireland ltd
13,Excluded,novel pak mediated regulation endothelial cxcl cxcr signaling angiogenesis glioblastoma increased endothelial cell proliferation aberrant neovascularization pathological hallmarks glioblastoma correlate clinical outcome recent studies also implicated ionizing radiation ir induced angiogenesis potential cause tumor recurrence metastases several malignancies its impact gliomas characterized factors drive endothelial proliferation angiogenesis interaction endothelial cells tumor cells context radiotherapy potentially novel targets glioma therapy our previous studies demonstrated high levels expression p activated kinase pak gliomas analyses tumor cell medium cm prepared shrna mediated pak knockdown cells using angiogenesis antibody array showed significant decrease key angiogenic factors including cxcl treatment human brain microvascular endothelial cells hbmecs cm pak knockdown cells pak kd cm significantly inhibited proliferation migration microtubule formation compared cm control scrambled vector expressing glioma cells pak kd cm treatment also suppressed cxcr activation decreased expression levels p stat vegf mmp cyclind hbmecs additionally treatment cm ionizing radiation ir gy treated cells resulted elevated cxcl mmp vegf levels hbmecs induced high levels endothelial capillary network formation matrigel indicating ir induced angiogenesis cells conversely pak kd inhibited ir induced angiogenesis decreased p stat vegf mmp levels ir treated hbmecs further vivo experiments orthotopic intracranial tumors nude mice showed growth suppression pak knockdown tumors compared control tumors immunohistochemical analyses brain tumor sections revealed significant decrease cxcl vegf mmp pak sh tumors in summary studies emphasize novel regulation angiogenic switch endothelial cxcl cxcr signaling pak tumor cells thereby suggests role pak critical mediator tumor endothelial cell interactions glioblastoma abrogation key angiogenic signaling ir treatment inhibition vivo tumor growth pak suppression indicates therapeutic potential treatment glioma
14,Excluded,blood peroxidase activity cerebral atherosclerosis receiving microwave resonance therapy russian submitted studies designed measure peroxidase activity blood patient presenting atherosclerosis associated cerebrovascular disorders receiving microwave resonance therapy those presenting cerebrovascular pathology proved peroxidation syndrome evidenced analysis studies made the syndrome reversed aid microwave resonance therapy
15,Excluded,acute complications following gamma knife radiosurgery rare gamma knife radiosurgery gkr safe effective alternative surgery intracranial lesions most studies evaluating toxicity gkr concentrated delayed radiation effects we retrospectively reviewed consecutive gkr cases early within days neurological complications death we identified total neurological event death five developed new focal deficits experienced seizure three deaths two deaths related development seizures neurological deterioration one death caused respiratory arrest related patient s primary cancer of five neurological deficits none persistent deficit in two cases neurological deficits due increase edema whether occurred gamma knife treatment natural progression tumor unclear complications gkr uncommon risk permanent deficit arising acute neurological event exceedingly low
16,Excluded,combination pgl tnf alpha gene radiation proton gamma ray therapy brain tumor the major goal study determine treatment newly constructed plasmid vector tumor necrosis factor alpha pgl tnf alpha could enhance radiation induced growth reduction c rat glioma in addition two different forms ionizing radiation gamma rays protons utilized body spleen mass leukocyte blastogenesis flow cytometry analysis cell populations blood spleen performed detect toxicity any identify mechanisms may correlate anti tumor action combination therapy c tumor cells implanted subcutaneously athymic mice allowed become established treatment initiation pgl tnf alpha injected implanted tumors irradiated hr later modality administered three times days the addition pgl tnf alpha significantly enhanced anti tumor effect radiation p the effect additive since pgl tnf alpha alone slow tumor progression radiation alone modest effect administration pgl tnf alpha together proton radiation resulted tumor volumes smaller following pgl tnf alpha gamma ray treatment similar differential tumor size observed groups receiving radiation body weights blood spleen cell analyses reveal treatment related toxicity high basal proliferation blood leukocytes increased b cell levels spleen associated pgl tnf alpha co gamma radiation proton treatment overall suggest pgl tnf alpha radiation combination effective safe conditions employed this first study combine gene proton radiation therapy show controlled experimental conditions proton radiation may greater effect malignant tumors compared physical dose gamma radiation
17,Excluded,electrophysiological characterisation central sensitisation canine spontaneous osteoarthritis in man central sensitisation cs contributes pain osteoarthritis oa dogs spontaneous oa may also exhibit cs electrophysiological reflex behavioural assessments used evaluate cs preclinical clinical studies it hypothesised dogs suffering oa would exhibit electrophysiological characteristics indicative cs associated reduced diffuse noxious inhibitory controls dnics one hundred seventeen client owned dogs recruited study hind limb nociceptive withdrawal reflex thresholds stimulus response temporal summation characteristics recorded alfaxalone anaesthesia oa dogs oa dogs receiving nonsteroidal anti inflammatory drugs oansaids breed weight matched control dogs efficacy dnic evaluated control oa dogs application mechanical conditioning stimulus contralateral forelimb nociceptive withdrawal reflex thresholds higher oa compared control dogs p stimulus response characteristics demonstrated augmented response oansaid dogs compared oa p control p dogs temporal summation demonstrated exaggerated c fibre mediated responses oa p oansaid p groups compared control animals conditioning stimulus application resulted inhibition test reflex responses oa control animals p control animals demonstrated greater inhibition compared oa p these data provide evidence neurophysiological changes consistent cs dogs spontaneous oa demonstrate canine oa associated reduced dnic
18,Included,treatment spinal cord ependymomas surgery without postoperative radiotherapy to evaluate effectiveness complete resection postoperative radiotherapy spinal cord ependymomas we conducted retrospective study males females histologically confirmed spinal cord ependymomas july april among them ependymomas myxopapillary ependymomas anaplastic ependymoma all received radical surgery tumor removal achieving complete resection incomplete resection due technical difficulty among incomplete resection received postoperative radiotherapy tumor bed one patient anaplastic ependymoma received surgery alone the total tumor dose ranged gy s among alive showed local control the median survival time months months complete resection alone group months incomplete resection postoperative radiotherapy group one patient anaplastic ependymoma postoperative radiotherapy developed leptomeningeal seeding months surgery salvage therapy radiotherapy chemotherapy maintained normal neurological functions the patient expired months initial diagnosis due progression leptomeningeal seeding s complete resection alone spinal cord ependymoma achieve excellent local control survival receive complete resection technically possible postoperative radiotherapy recommended complete resection for incomplete resection postoperative local radiotherapy recommended also achieve excellent local control survival local radiotherapy gy effective safe salvage radiotherapy improves quality life local recurrence leptomeningeal seeding springer
19,Excluded,impact reconstruction algorithms ct based attenuation correction i ioflupane spect aimd opamine transporter scintigraphy sup sup i fp cit established part diagnosis parkinsonism the consistency qualitative semi quantitative analysis still debate in study spect images analyzed order evaluate variability among different attenuation correction techniques reconstruction algorithms well intra operator dependence and integrated spect tc acquisitions siemens symbiaintevo x views s view kv mm performed m f suspected parkinson s disease administration sup sup i ioflupane images reconstructed fbp algorithm without attenuation correction fbp noac iterative algorithm flashd iterations subset ct low dose attenuation correction map it ac uniform chang s matrix it chang two experienced physicians unaware reconstruction attenuation correction inspected qualitatively images assigned negative positive doubtful score percentage differences physicians well among calculated to investigate possibility distinguish positive negative semi quantitative way specific to ratios caudate putamen calculated drawing volume interest areas the diagnostic power tested using roc analysis auc compared hanley mcneil z values order find statistical significant discrepancies individuate best images processing in qualitative analysis first physician gave assessment second one images reconstructed fbp chang value increased fbp noac it ac also comparing images within observer differences found for first physician fbp chang fbp noac showed discrepancies patient it ac second assessor it chang variability becomes greater comparisons fbp noac it ac similar auc values found among tree caudate putamen slightly higher value it chang caudate right left putamen right left when aucs compared z values always lower confirmed low dose ct attenuation correction significantly improved diagnostic power the impact ct based attenuation correction compared chang fbp noac interpretation of sup sup i ioflupane spect images negligible therefore ct based ac cannot recommended routine use clinical patient care least additional radiation exposure
20,Included,does robotic platform reduce morbidity associated combined radical surgery adjuvant radiation early cervical cancer open radical hysterectomy rh followed adjuvant radiation xrt cervical cancer associated high morbidity however rhs often performed robotically we examined robotic platform decreases morbidity associated radical surgery followed adjuvant xrt s a retrospective cohort study cervical cancer undergoing rh performed clinical pathologic data obtained medical record long term lt complications defined urinary and or bowel complications lymphedema presenting days completion therapy complications graded grade mild symptoms easily treated grade symptoms resolving long term medical therapy grade major symptoms requiring surgery invasive procedures the x sup sup student tests used analysis s overall underwent rh cervical cancer the open surgical approach used n robotic approach used n eighty three required adjuvant xrt xrt associated increased risk lt complication vs p lt complications included lymphedema n bowel associated complications enteritis proctitis n obstruction n urinary complications hemorrhagic cystitis n neurogenic bladder n fistula n ureteral stricture n among received adjuvant xrt open surgical approach used n robotic approach n there difference time initiation xrt surgical groups vs days p there difference grade lt complications receiving adjuvant xrt groups vs p however undergoing open surgery experienced trend toward increased adhesion related complications bowel obstruction ureteral stricture vs p s we found difference lt complications underwent robotic underwent open rh adjuvant xrt fewer adhesion related lt complications may seen robotic surgery however many xrt related complications occur later time points continued follow up needed evaluate potential differences groups
21,Excluded,visual symptoms retinal straylight laser peripheral iridotomy zhongshan angle closure prevention trial to assess impact laser peripheral iridotomy lpi forward scatter light subjective visual symptoms identify lpi parameters influencing phenomena cohort study derived randomized trial using external control group participants chinese subjects initially aged older years younger bilateral narrow angles undergoing lpi eye selected random age gender matched controls eighteen months laser lpi treated subjects underwent digital iris photography photogrammetry characterize size location lpi lens opacity classification system iii cataract grading measurement retinal straylight c quant oculus wetzlar germany treated untreated eyes completed visual symptoms questionnaire controls answered questionnaire underwent straylight measurement in random one sixth sample cataract grading main outcome retinal straylight levels subjective visual symptoms among lpi treated subjects lpi totally covered lid lpi partly covered lid lpi uncovered lid completed testing controls age gender prevalence visual symptoms differ treated subjects controls although nuclear p cortical p cataract less common among controls neither presenting visual acuity straylight score differed treated untreated eyes among treated persons among n lpi partially totally uncovered prevalence subjective glare differ significantly participants totally covered lpi confidence interval ci partially covered lpi ci totally uncovered lpi ci in regression models worse cortical cataract grade p associated significantly straylight score predictors associated subjective glare none lpi size location parameters associated straylight subjective symptoms these suggests lpi safe regarding straylight visual symptoms this randomized provides strong evidence treatment programs narrow angles would unlikely important medium term visual disability
22,Excluded,comparison efficacy safety tropisetron metoclopramide chlorpromazine treatment emesis associated far advanced cancer a single institution prospective randomized trial performed terminal cancer compare tropisetron tro metoclopramide met chlorpromazine chl management nausea emesis far advanced cancer far removed chemotherapy radiotherapy nausea emesis due bowel obstruction drug intake cranial electrolytic metabolic causes the effects antiemetic treatments evaluated days two hundred eighty randomized receive met dexamethasone dex mg mg l respectively orally tro mg l orally tro met mg l mg respectively orally tro met dex mg l mg mg l respectively orally chl dex mg mg l respectively orally tro chl mg l mg respectively orally tro chl dex mg l mg mg l respectively orally total control defined nausea emesis by end th day total control emesis obtained met dex tro tro met tro met dex chl dex tro chl tro chl dex total control nausea achieved met dex tro tro met tro met dex chl dex tro chl tro chl dex when comparing met dex versus tro met dex versus tro met met dex versus tro met dex met dex versus tro chl met dex versus tro chl dex chl dex versus tro chl dex versus tro met chl dex versus tro met dex chl dex versus tro chl chl dex versus tro chl dex significant differences noted all antiemetic drugs well tolerated severe side effects observed treatment arm cnclusions these data suggest ht receptor antagonists tropisetron clinically effective control emesis far advanced cancer previously used agents this study raises important issues attempting decide antiemetic therapy choose individual patient far advanced disease
23,Included,paralysis following stereotactic spinal irradiation pigs suggests tolerance constraint single session irradiation spinal nerve and paralysis observed study vertebral bone tolerance single session irradiation led study dose related incidence motor peripheral neuropathy and during bone tolerance study cervical spinal nerves minipigs received bilateral irradiation levels c c distributed three dose groups mean maximum spinal nerve doses gy n gy n gy n changes developing gait group pigs receiving mean maximum dose gy weeks led irradiation two additional animals they received mean maximum dose gy n targeted left spinal nerves c c the followup period one year histologic sections spinal cords available spinal nerves evaluated mr imaging performed pigs gy group no pig received maximum spinal nerve point dose gy experienced change gait pigs received gy experienced paralysis extensive degeneration fibrosis observed irradiated spinal nerves gy animals all spinal cord sections normal irradiated spinal nerve regions showed increased thickness hypointensity mr imaging the single session tolerance dose cervical spinal nerves lies gy model
24,Excluded,a case aids associated primary cns lymphoma difficult differentiate toxoplasmic encephalitis clinical symptoms neuroimages therapeutic responses japanese we reported year old thai woman developed primary cns lymphoma pcnsl associated acquired immunodeficiency syndrome it difficult distinguish pcnsl toxoplasmic encephalitis case clinical symptoms findings ct mri therapeutic responses toxoplasmosis it important make definite diagnosis pcnsl brain biopsy treat appropriately disorder could fatal treated corticosteroid radiation proper
25,Excluded,genetic delivery mirna cluster polycistronic sirnas reduces expression epidermal growth receptor human glioblastoma cells glioblastoma multiforme gbm common malignancy brain grade iv astrocytoma it one rapidly growing invasive types glial tumors the standard therapy includes surgical removal radiation chemotherapy median survival months in addition systemic therapies limited blood brain barrier to bypass barrier developing gene delivery strategy inhibit expression tyrosine kinase receptors tkr commonly upregulated gbm one tkr epidermal growth factor receptor egfr overexpressed gbm leading uncontrolled growth proliferation our approach recruit rna interference pathway although small interfering rnas sirnas often utilized silence gene expression exogenously expressed sirnas effective strategy treat human disease due extracellular intracellular nucleases well activation cellular immunity foreign nucleic acids to bypass degradatory mechanisms use natural mirna cluster genetic effectively deliver dna encoding multiple anti egfr sirnas inserting tertiary structure mirna cluster mir the anti egfr polycistronic mirna cluster paav mir ip expresses six sirnas directed egfr specifically targeting extracellular ligand binding domain transmembrane domain intracellular tyrosine kinase domain untranslated region egfr transcript the vector paav mir ip transfected human gbm cell lines a umg demonstrate paav mir ip expressed high levels subsequent reduction egfr mrna expression additional strategies include using polycistronic delivery mechanism target multiple tkrs addition egfr
26,Excluded,a new reference point patient dose estimation neurovascular interventional radiology in interventional radiology dose estimation using interventional reference point irp practical obtaining real time skin dose patient however irp defined terms adult cardiovascular radiology suitable dosimetry head in present study defined new reference point neuro irp neuro interventional procedures the neuro irp located central ray x ray beam cm isocenter toward focal spot to verify whether neuro irp accurate dose estimation compared calculated doses neuro irp actual measured doses surface head phantom various directions x ray projection the resulting calculated doses fairly consistent actual measured doses error estimation within approximately these data suggest dose estimation using neuro irp head valid
27,Excluded,repetitive transcranial magnetic stimulation influence immunological hl cells neuronal pc cells transcranial magnetic stimulation tms non invasive used medical applications brain mapping therapeutic tool neurological psychiatric disorders stimulate defined regions brain without anaesthesia the action repetitive transcranial magnetic stimulation rtms hl pc cells investigated the cells stimulated vitro different number pulses different intensities different frequencies hz using double coil x mm connected magstim rapid at selected time points treatment following endpoints determined viability cyclic amp camp heat shock protein hsp hl cells viability camp dopamine noradrenaline pc cells viability measured alamarblue assay whereas camp hsp dopamine noradrenaline determined enzyme linked immunosorbent assay elisa in cell lines viability influenced rtms treatment true cytosolic camp concentration in hl cells rtms treatment change hsp content also protective effect rtms treatment cell viability toxic h o treatment observed after high potassium treatment release two neurotransmitters dopamine noradrenaline pc cells enhanced fold respectively rtms treatment change release two neurotransmitters observed in two mammalian cell lines rtms treatment variety exposure conditions influence measured parameters
28,Excluded,kcnq kv channel regulation hippocampal gamma frequency firing absence synaptic transmission synchronous neuronal firing induced hippocampal slices absence synaptic transmission lowering extracellular ca raising extracellular k however ionic mechanisms underlying nonsynaptic synchronous firing well understood in study investigated role kcnq kv channels regulating form nonsynaptic bursting activity incubation rat hippocampal slices reduced mm ca o increased mm k o blocked synaptic transmission increased neuronal firing led development spontaneous periodic nonsynaptic epileptiform activity this activity recorded extracellularly large mv depolarizing envelopes superimposed high frequency synchronous population spikes these intraburst population spikes initially occurred high frequency about hz decayed throughout burst stabilizing gamma frequency band hz further increasing k o resulted increase interburst frequency without altering intraburst population spike frequency application retigabine microm kv channel modulator completely abolished bursts xe sensitive manner furthermore application kv channel blockers linopirdine microm xe microm alone abolished gamma frequency higher frequency population spike firing observed low ca high k bursts these data suggest kv channels likely play role regulation synchronous population firing activity
29,Excluded,technical dosimetric considerations multi isocenter intensity modulated radiotherapy nasopharyngeal carcinoma small multileaf collimator multileaf collimator mlc assisted intensity modulated radiotherapy imrt greatly improved target coverage avoidance organs risk oar treatment nasopharyngeal carcinoma however implementation also constrained features mlc nasopharyngeal carcinoma tends large gross target volume gtv clinical target volume ctv due biological characteristics more one isocenter may needed small mlcs i e brainlab m whose largest field x cm used treat nasopharyngeal carcinoma the brainlab imrt system used evaluate effectiveness multi isocenter imrt plan treating nasopharyngeal cancers dose coverage gtvs ctvs compared among imrt plans isocenters dose oars including brainstem cord parotids the dosimetric variation delivery time also measured phantom imrt plans isocenter achieved better dose coverage homogeneity conformity gtvs ctvs however risk higher doses given oars in cases one generate satisfactory imrt plans using isocenter imrt planning strategy two isocenter planning strategy may suitable compromise isocenters needed
30,Excluded,targeted alpha therapy systemic mouse model prostate cancer feasibility study sup sup ac psma targeted therapy demonstrated efficacy however responses durable we aimed establish translatable mouse models disseminated prostate cancer pca evaluate effectiveness sup sup ac psma various disease stages b b c c b rv cells injected left ventricle male nsg mice disease progression monitored using bioluminescence imaging bli for treatment mice injected kbq sup sup ac psma one early treatment cohort three weeks late treatment cohort post inoculation treatment efficacy monitored bli whole body tumor burden mice sacrificed based body conditioning score b b c cells yielded metastases liver lungs spleen stomach bones brain achieving clinically relevant model widespread metastatic disease the disease burden early treatment cohort stable weeks mice progressive mice these mice sacrificed due brain metastases median survival late treatment cohort superior controls vs weeks p inferior early treatment cohort vs weeks p late cohort mice succumbed extensive liver involvement the rv c b systemic models used treatment due high kidney metastatic burden low take rate respectively b b c cells reproduced metastatic cancer spread relevantly early treatment sup sup ac psma prevented liver metastases led significant survival benefit late treatment improved survival without reducing tumor burden liver main site metastasis the current findings suggest early sup sup ac psma efficacious widespread metastatic pca
31,Excluded,clinical picture epicrania fugax a prospective series cases therapeutic aims epicrania fugax ef diagnostic criteria appendix international classification headache disorders ichd iii point appearance brief pain paroxysms describing stable trajectory across surface one hemicranium commencing terminating territories different nerves pain radiation may forward backward we aimed analyse large series attended outpatient headache clinic s we systematically included fulfilling criteria march january we prospectively assessed clinical demographic characteristics therapeutic requirements response s we included females males attended study period age onset years cases suffered forward ef backward ef paroxysms described trajectories pain strictly unilateral whilst shifted sides presented sagittal trajectory pain quality mainly described electric stabbing intensity rated in cases autonomic features appeared mainly lacrimation temporal pattern heterogeneous spontaneous remissions cases required preventive therapy the drugs presented better response gabapentin lamotrigin refractory cases successfully managed lamotrigin s ef infrequent exceptional syndrome headache clinic characteristics forward backward variants comparable when preventive therapy required neuromodulator reached best responses lamotrigin
32,Included,radiation arteritis contraindication carotid stenting carotid artery stenting cas high risk anatomic lesions accepted practice neck irradiation radiotherapy induced arteritis common indications the clinical outcomes cas radiation arteritis poorly defined a prospective database undergoing cas tertiary referral academic medical center maintained undergoing primary carotid artery stenting significant atherosclerotic asod radiotherapy xrt induced occlusive disease analyzed life table analyses performed assess time dependent outcomes cox proportional hazard analysis fisher s exact test performed identify factors associated outcomes data presented mean sem unless otherwise indicated during study period underwent primary cas embolic protection fifty eight percent symptomatic one hundred twenty seven treated asod xrt the day all cause mortality rate asod xrt p ns overall survival years equivalent there significant difference major adverse event rates defined stenting angioplasty protection high risk endarterectomy sapphire trial groups the year neurologic event free rate asod xrt p ns late asymptomatic occlusions seen xrt the year freedom restenosis rate significantly worse xrt group vs asod group p likewise year patency rate also worse xrt group vs asod kaplan meier analysis p no factor predictive occlusion stenosis cox proportional hazards analysis cas radiation arteritis poor long term anatomic outcome present late asymptomatic occlusions these findings suggest require closer postoperative surveillance raise question whether cas appropriate carotid occlusive lesions caused radiation arteritis
