,Unnamed: 0,titles,abstracts,decision,titleabstract
743,743,Sex tissue-specific differences low-dose radiation-induced oncogenic signaling,"PURPOSE: The possible adverse health effects low-dose radiation (LDR) exposure constitute growing concern. Clinically environmentally relevant exposures occur predominantly chronic conditions, notwithstanding studies LDR effects performed using single acute exposure. Sex- tissue-specificity LDR-induced changes considered before. We investigated LDR-related expression patterns muscle, liver spleen male female mice subjected acute chronic LDR exposure. Genes involved oncogenic signaling specific interest, radiation well-known carcinogen., MATERIALS AND METHODS: We analyzed expression pattern genes coding growth factors growth-factor receptors, cytoplasmic serine/threonine protein kinases, G-proteins nuclear DNA-binding proteins, important components oncogenic signaling., RESULTS: We found sex- tissue-specific changes expression Ras superfamily members (Nras, Rab, Rab, Vav), protein kinase C (PKC) isoforms (PKCbeta, PKCmu), AP- factor components (Jun, JunB FosB), Wnt signaling pathway members well variety cellular proto-oncogenes oncogenes. Importantly, Western blot analysis JunB, PKCmu Rab proteins supported transcriptomic data., CONCLUSIONS: Substantially different protein levels observed three tissues (muscle, spleen liver) acutely chronically irradiated female male animals. Based obtained data available literature, discuss several possible mechanisms may contribute radiation-induced carcinogenesis various tissues males females. From could identify genes may serve sex- tissue-specific biomarkers LDR exposure.",Included,"Sex tissue-specific differences low-dose radiation-induced oncogenic signaling. PURPOSE: The possible adverse health effects low-dose radiation (LDR) exposure constitute growing concern. Clinically environmentally relevant exposures occur predominantly chronic conditions, notwithstanding studies LDR effects performed using single acute exposure. Sex- tissue-specificity LDR-induced changes considered before. We investigated LDR-related expression patterns muscle, liver spleen male female mice subjected acute chronic LDR exposure. Genes involved oncogenic signaling specific interest, radiation well-known carcinogen., MATERIALS AND METHODS: We analyzed expression pattern genes coding growth factors growth-factor receptors, cytoplasmic serine/threonine protein kinases, G-proteins nuclear DNA-binding proteins, important components oncogenic signaling., RESULTS: We found sex- tissue-specific changes expression Ras superfamily members (Nras, Rab, Rab, Vav), protein kinase C (PKC) isoforms (PKCbeta, PKCmu), AP- factor components (Jun, JunB FosB), Wnt signaling pathway members well variety cellular proto-oncogenes oncogenes. Importantly, Western blot analysis JunB, PKCmu Rab proteins supported transcriptomic data., CONCLUSIONS: Substantially different protein levels observed three tissues (muscle, spleen liver) acutely chronically irradiated female male animals. Based obtained data available literature, discuss several possible mechanisms may contribute radiation-induced carcinogenesis various tissues males females. From could identify genes may serve sex- tissue-specific biomarkers LDR exposure."
744,744,Combining cisplatin mitomycin radiotherapy anal carcinoma,"PURPOSE: The European Organization Research Treatment Cancer (EORTC) phase II study No.  demonstrated feasibility reducing overall treatment time chemoradiation, delivering mitomycin C twice rather fluorouracil whole treatment. We tested feasibility chemoradiation anal carcinoma mitomycin cisplatin phase II study. METHOD(S): Twenty-one patients locally advanced anal carcinoma ( women,  men) treated. The first sequence radiotherapy consisted  Gy four weeks. After gap interval  days, second sequence radiotherapy given, delivering . Gy . weeks. Mitomycin C delivered  mg/m day  sequence cisplatin delivered  mg/m/week sequence. RESULT(S): The compliance rates first sequence radiation, mitomycinm, cispaltin (dose timing)  percent. The median duration gap  days (- days). The compliance rates second sequence radiation, mitomycin, cisplatin (dose timing) , ., . percent, respectively. Grade>= acute toxicities , , ,  percent observed skin, diarrhea, hematologic, renal toxicities, respectively. Nineteen patients complete response (. percent). CONCLUSION(S): Combining radiation mitomycin cisplatin patients locally advanced anal cancer feasible. The promising. The EORTC currently comparing combination mitomycin -fluorouracil large phase II-III trial. ©  The American Society Colon Rectal Surgeons.",Excluded,"Combining cisplatin mitomycin radiotherapy anal carcinoma. PURPOSE: The European Organization Research Treatment Cancer (EORTC) phase II study No.  demonstrated feasibility reducing overall treatment time chemoradiation, delivering mitomycin C twice rather fluorouracil whole treatment. We tested feasibility chemoradiation anal carcinoma mitomycin cisplatin phase II study. METHOD(S): Twenty-one patients locally advanced anal carcinoma ( women,  men) treated. The first sequence radiotherapy consisted  Gy four weeks. After gap interval  days, second sequence radiotherapy given, delivering . Gy . weeks. Mitomycin C delivered  mg/m day  sequence cisplatin delivered  mg/m/week sequence. RESULT(S): The compliance rates first sequence radiation, mitomycinm, cispaltin (dose timing)  percent. The median duration gap  days (- days). The compliance rates second sequence radiation, mitomycin, cisplatin (dose timing) , ., . percent, respectively. Grade>= acute toxicities , , ,  percent observed skin, diarrhea, hematologic, renal toxicities, respectively. Nineteen patients complete response (. percent). CONCLUSION(S): Combining radiation mitomycin cisplatin patients locally advanced anal cancer feasible. The promising. The EORTC currently comparing combination mitomycin -fluorouracil large phase II-III trial. ©  The American Society Colon Rectal Surgeons."
747,747,Effect combined drug treatment megacolon severe constipation,"Objective: To assess effectiveness combined drug treatment megacolon complicated severe constipation. Method(s): Ten patients megacolon confirmed barium enema examination,  males  females, aged  (-), mean course  years ( weeks- years), complicated severe constipation  cases colonic obstruction confirmed X-ray examination,  diagnosed Hirschsprung disease,  secondary chronic constipation,  diabetes mellitus,  history anorectal malformation,  colonic pseudo-obstruction,  colonic pseudo-obstruction, treated combined conservative therapy including tegaserod ( mg /d), polyethylene glycol (PEG)  (- g/ d), liuweianxiao (traditional Chinese medicine,  #/d). Colon eenema used first week necessary. Follow-up conducted - months. The major clinical data included bowel symptoms, complications adverse effects. Result(s): After - weeks treatment, properties feces, defecation times, defecation difficulty, abdominal symptoms, X-ray findings notably improved. No relapse colonic obstruction found. The  patients colonic obstruction showed release. Regarding adverse effect, mild diarrhea found  cases relieved dosage decreased. Conclusion(s): Combined drug treatment including tegaserod, PEG  traditional Chinese medicine effective treating megacolon severe constipation may help avoid surgical treatment.",Excluded,"Effect combined drug treatment megacolon severe constipation. Objective: To assess effectiveness combined drug treatment megacolon complicated severe constipation. Method(s): Ten patients megacolon confirmed barium enema examination,  males  females, aged  (-), mean course  years ( weeks- years), complicated severe constipation  cases colonic obstruction confirmed X-ray examination,  diagnosed Hirschsprung disease,  secondary chronic constipation,  diabetes mellitus,  history anorectal malformation,  colonic pseudo-obstruction,  colonic pseudo-obstruction, treated combined conservative therapy including tegaserod ( mg /d), polyethylene glycol (PEG)  (- g/ d), liuweianxiao (traditional Chinese medicine,  #/d). Colon eenema used first week necessary. Follow-up conducted - months. The major clinical data included bowel symptoms, complications adverse effects. Result(s): After - weeks treatment, properties feces, defecation times, defecation difficulty, abdominal symptoms, X-ray findings notably improved. No relapse colonic obstruction found. The  patients colonic obstruction showed release. Regarding adverse effect, mild diarrhea found  cases relieved dosage decreased. Conclusion(s): Combined drug treatment including tegaserod, PEG  traditional Chinese medicine effective treating megacolon severe constipation may help avoid surgical treatment."
750,750,The spectrum radiation enteritis. Surgical considerations,"Radiation therapy, often used treat gynecologic urologic pelvic malignancies, varying, adverse effects bowel. Radiation enteritis may occur one month  years irradiation, disabling symptoms may require surgery   per cent patients. From experience  patients required surgery radiation enteritis followed  years, able identify three clinical groups. Patients first group need medical treatment symptoms, observation, whereas patients second group may present acute, debilitating, life-threatening symptoms may require emergency surgery. Patients third group long-standing history intermittent bowel obstruction and/or enteric fistulas best treated adequate nutritional support followed timely surgical intervention.",Excluded,"The spectrum radiation enteritis. Surgical considerations. Radiation therapy, often used treat gynecologic urologic pelvic malignancies, varying, adverse effects bowel. Radiation enteritis may occur one month  years irradiation, disabling symptoms may require surgery   per cent patients. From experience  patients required surgery radiation enteritis followed  years, able identify three clinical groups. Patients first group need medical treatment symptoms, observation, whereas patients second group may present acute, debilitating, life-threatening symptoms may require emergency surgery. Patients third group long-standing history intermittent bowel obstruction and/or enteric fistulas best treated adequate nutritional support followed timely surgical intervention."
751,751,"Combined Effects Three High-Energy Charged Particle Beams Important Space Flight Brain, Behavioral Cognitive Endpoints BDF Female Male Mice","The radiation environment deep space includes galactic cosmic radiation different proportions naturally occurring ions protons uranium. Most experimental animal studies assessing biological effects charged particles involved acute dose delivery single ions and/or fractionated exposure protocols. Here, assessed behavioral cognitive performance female male CBL/J x DBA/J F (BDF) mice  months following rapidly delivered, sequential irradiation protons ( GeV, %), O ( MeV/n, %), Si ( MeV/n, %) , , ,  cGy - months age. Cortical BDNF, CD, MAP- levels analyzed  months irradiation sham irradiation. During dark period, male mice irradiated  cGy showed higher activity levels home cage sham-irradiated mice. Mice irradiated  cGy also showed increased depressive behavior forced swim test. When cognitive performance assessed, sham-irradiated mice sexes mice irradiated  cGy showed normal responses object recognition novel object exploration. However, object recognition impaired female male mice irradiated   cGy. For cortical levels neurotrophic factor BDNF marker microglial activation CD, sex x radiation interactions. In females, males, increased CD levels following irradiation. In males, females, reduced BDNF levels following irradiation. A significant positive correlation BDNF CD levels observed, suggesting role activated microglia alterations BDNF levels. Finally, sequential beam irradiation impacted diversity composition gut microbiome. These included dose-dependent impacts alterations relative abundance several gut genera, Butyricicoccus Lachnospiraceae. Thus, exposure rapidly delivered sequential proton, O ion, Si ion irradiation significantly affects behavioral cognitive performance, cortical levels CD BDNF sex-dependent fashion, gut microbiome.",Included,"Combined Effects Three High-Energy Charged Particle Beams Important Space Flight Brain, Behavioral Cognitive Endpoints BDF Female Male Mice. The radiation environment deep space includes galactic cosmic radiation different proportions naturally occurring ions protons uranium. Most experimental animal studies assessing biological effects charged particles involved acute dose delivery single ions and/or fractionated exposure protocols. Here, assessed behavioral cognitive performance female male CBL/J x DBA/J F (BDF) mice  months following rapidly delivered, sequential irradiation protons ( GeV, %), O ( MeV/n, %), Si ( MeV/n, %) , , ,  cGy - months age. Cortical BDNF, CD, MAP- levels analyzed  months irradiation sham irradiation. During dark period, male mice irradiated  cGy showed higher activity levels home cage sham-irradiated mice. Mice irradiated  cGy also showed increased depressive behavior forced swim test. When cognitive performance assessed, sham-irradiated mice sexes mice irradiated  cGy showed normal responses object recognition novel object exploration. However, object recognition impaired female male mice irradiated   cGy. For cortical levels neurotrophic factor BDNF marker microglial activation CD, sex x radiation interactions. In females, males, increased CD levels following irradiation. In males, females, reduced BDNF levels following irradiation. A significant positive correlation BDNF CD levels observed, suggesting role activated microglia alterations BDNF levels. Finally, sequential beam irradiation impacted diversity composition gut microbiome. These included dose-dependent impacts alterations relative abundance several gut genera, Butyricicoccus Lachnospiraceae. Thus, exposure rapidly delivered sequential proton, O ion, Si ion irradiation significantly affects behavioral cognitive performance, cortical levels CD BDNF sex-dependent fashion, gut microbiome."
753,753,Regional radiation dose susceptibility within parotid gland: Effects salivary loss recovery,"Purpose: Xerostomia one likely late toxic effects radiotherapy treatment patients head-and-neck cancers. Modern treatment techniques incorporate knowledge complication risk treatment plans. To end, authors attempt quantify regional radiotherapy dose-dependence salivary output loss recovery prospective study. Method(s): Salivary output collected patients undergoing radiotherapy treatment headand- neck cancers BC Cancer Agency February  May . Regional dose-dependence (i.e., dose susceptibility) loss recovery quantified using nonparametric (Spearmans rank correlation coefficients, local linear regression) parametric (least-sum squares, least-median squares) techniques. Result(s): Salivary flow recovery seen   patients considered (p < ., Wilcoxon sign rank test). Output loss strongly correlated left- right parotid combined dose phi = min (DL,  Gy)+min (DR,  Gy), accurately predicted. Median early loss (three months) % baseline, median overall loss ( yr) % baseline. Fitting exponential model whole parotid yields dose sensitivities Am = . Gy? Ay = . Gy?. Recovery significantly associated dose. Hints lateral organ subsegment doseresponse dimorphism observed. Conclusion(s): Sub-segmentation appears predict neither loss recovery greater precision whole parotid mean dose, though worse. Sparing parotid combined dose phi < Gy recommended patient keep =% baseline function thus avoid severe xerostomia  months post-treatment. It seems unlikely populations mean recovery exceed %% baseline output  yr radiotherapy treatment using current (whole-organ based) clinical guidelines.Copyright ©  Am. Assoc. Phys. Med.",Excluded,"Regional radiation dose susceptibility within parotid gland: Effects salivary loss recovery. Purpose: Xerostomia one likely late toxic effects radiotherapy treatment patients head-and-neck cancers. Modern treatment techniques incorporate knowledge complication risk treatment plans. To end, authors attempt quantify regional radiotherapy dose-dependence salivary output loss recovery prospective study. Method(s): Salivary output collected patients undergoing radiotherapy treatment headand- neck cancers BC Cancer Agency February  May . Regional dose-dependence (i.e., dose susceptibility) loss recovery quantified using nonparametric (Spearmans rank correlation coefficients, local linear regression) parametric (least-sum squares, least-median squares) techniques. Result(s): Salivary flow recovery seen   patients considered (p < ., Wilcoxon sign rank test). Output loss strongly correlated left- right parotid combined dose phi = min (DL,  Gy)+min (DR,  Gy), accurately predicted. Median early loss (three months) % baseline, median overall loss ( yr) % baseline. Fitting exponential model whole parotid yields dose sensitivities Am = . Gy? Ay = . Gy?. Recovery significantly associated dose. Hints lateral organ subsegment doseresponse dimorphism observed. Conclusion(s): Sub-segmentation appears predict neither loss recovery greater precision whole parotid mean dose, though worse. Sparing parotid combined dose phi < Gy recommended patient keep =% baseline function thus avoid severe xerostomia  months post-treatment. It seems unlikely populations mean recovery exceed %% baseline output  yr radiotherapy treatment using current (whole-organ based) clinical guidelines.Copyright ©  Am. Assoc. Phys. Med."
756,756,Feasibility efficiency double-agent versus single-agent concurrent chemoradiotherapy patients nasopharyngeal carcinoma,"Purpose: Concurrent chemoradiotherapy (CCRT) mainstay treatment nasopharyngeal carcinoma (NPC) patients. It remains unclear whether double-agent CCRT (d-CCRT) effective single-agent CCRT (s-CCRT). In study, compared treatment efficiency toxicity d-CCRT s-CCRT NPC patients. Methods materials: Patients stage II-IV NPC treated d-CCRT s-CCRT retrospectively reviewed. The d-CCRT group patients compared s-CCRT group patients overall survival (OS), locoregional relapse-free survival (LRRFS), disease-free survival (DFS), distant metastasis-free survival (DMFS) toxicity. Differences baseline characteristics adjusted using pair-matching method. Result(s): In study,  patients received CCRT NPC   pair-matched : ratio (n =  d-CCRT; n =  s-CCRT). The d-CCRT treated patients showed significant advantages terms -year OS (.% vs. .%), DFS (.% vs. .%), LRRFS (.% vs. .%), DMFS (.% vs. .%) compared s-CCRT treated patients (P = ., ., ., ., respectively). Multivariate analysis showed CCRT regimen significant effects survival. In d-CCRT group, incidence grade - hematological toxicities significantly higher. Conclusion(s): The d-CCRT regimen confer significant survival benefits compared s-CCRT regimen treatment stage II-IV NPC patients. Furthermore, patients treated d-CCRT regimen experienced greater hematological toxicity.Copyright ©  Elsevier Ltd",Excluded,"Feasibility efficiency double-agent versus single-agent concurrent chemoradiotherapy patients nasopharyngeal carcinoma. Purpose: Concurrent chemoradiotherapy (CCRT) mainstay treatment nasopharyngeal carcinoma (NPC) patients. It remains unclear whether double-agent CCRT (d-CCRT) effective single-agent CCRT (s-CCRT). In study, compared treatment efficiency toxicity d-CCRT s-CCRT NPC patients. Methods materials: Patients stage II-IV NPC treated d-CCRT s-CCRT retrospectively reviewed. The d-CCRT group patients compared s-CCRT group patients overall survival (OS), locoregional relapse-free survival (LRRFS), disease-free survival (DFS), distant metastasis-free survival (DMFS) toxicity. Differences baseline characteristics adjusted using pair-matching method. Result(s): In study,  patients received CCRT NPC   pair-matched : ratio (n =  d-CCRT; n =  s-CCRT). The d-CCRT treated patients showed significant advantages terms -year OS (.% vs. .%), DFS (.% vs. .%), LRRFS (.% vs. .%), DMFS (.% vs. .%) compared s-CCRT treated patients (P = ., ., ., ., respectively). Multivariate analysis showed CCRT regimen significant effects survival. In d-CCRT group, incidence grade - hematological toxicities significantly higher. Conclusion(s): The d-CCRT regimen confer significant survival benefits compared s-CCRT regimen treatment stage II-IV NPC patients. Furthermore, patients treated d-CCRT regimen experienced greater hematological toxicity.Copyright ©  Elsevier Ltd"
759,759,Eosinophilic interleukin  (IL-) transgenic mice: eosinophil activity impaired clearance Schistosoma mansoni,"Eosinophilia feature common many invasive helminth infections eosinophils often considered effector cells immunity helminths. This study examined possible influence constitutive eosinophilia clearance Schistosoma mansoni infections mice. Eosinophils interleukin- transgenic mice exhibit normal ultrastructure function regard phagocytosis killing bacteria responses chemotactic stimuli. IL- transgenics non-transgenic littermates immunized four (hyperimmunization) times irradiated cercariae S. mansoni. Animals challenged percutaneously unirradiated cercariae one month last exposure irradiated parasites. One month challenge transgenic animals, whether unimmunized, vaccinated hypervaccinated, carried significantly liver-stage parasites non-transgenic animals. These suggest although eosinophils IL- transgenic mice functional number key parameters, large numbers eosinophils and/or high levels IL- may way impair clearance S. mansoni. A re-evaluation roles eosinophils IL- infections parasites may therefore warranted.",Excluded,"Eosinophilic interleukin  (IL-) transgenic mice: eosinophil activity impaired clearance Schistosoma mansoni. Eosinophilia feature common many invasive helminth infections eosinophils often considered effector cells immunity helminths. This study examined possible influence constitutive eosinophilia clearance Schistosoma mansoni infections mice. Eosinophils interleukin- transgenic mice exhibit normal ultrastructure function regard phagocytosis killing bacteria responses chemotactic stimuli. IL- transgenics non-transgenic littermates immunized four (hyperimmunization) times irradiated cercariae S. mansoni. Animals challenged percutaneously unirradiated cercariae one month last exposure irradiated parasites. One month challenge transgenic animals, whether unimmunized, vaccinated hypervaccinated, carried significantly liver-stage parasites non-transgenic animals. These suggest although eosinophils IL- transgenic mice functional number key parameters, large numbers eosinophils and/or high levels IL- may way impair clearance S. mansoni. A re-evaluation roles eosinophils IL- infections parasites may therefore warranted."
760,760,Decline natural killer cell activity sublethally irradiated mice,"Spleen cells (CBL/ X CH/He)F mice assayed natural killer (NK) cell activity YAC- FBL- lymphoma targets several intervals total-body exposure high sublethal dose Cs Co gamma-rays. NK cell activity decline first  days decreased sharply thereafter remained low day . The recovery splenic NK cell activity delayed. Beginning day , activity slowly increased, reaching near-normal levels (% controls) - days irradiation. Suppressor cells detectable period lowest NK cell activity, i.e., days  , may responsible delayed slow recovery. These studies indicated a) mature effectors natural cytotoxicity relatively radioresistant renewable cells lifespan  weeks whose progenitors radiosensitive cells b) kinetics decline especially recovery NK cell activity may influenced suppressor cells. Should NK cell activity confer resistance autochthonous lymphomas vivo, may significant consideration strategies tumor therapy cytotoxic agents reconstitution NK cell pool slow process suppressor cell function must overcome full recovery.",Included,"Decline natural killer cell activity sublethally irradiated mice. Spleen cells (CBL/ X CH/He)F mice assayed natural killer (NK) cell activity YAC- FBL- lymphoma targets several intervals total-body exposure high sublethal dose Cs Co gamma-rays. NK cell activity decline first  days decreased sharply thereafter remained low day . The recovery splenic NK cell activity delayed. Beginning day , activity slowly increased, reaching near-normal levels (% controls) - days irradiation. Suppressor cells detectable period lowest NK cell activity, i.e., days  , may responsible delayed slow recovery. These studies indicated a) mature effectors natural cytotoxicity relatively radioresistant renewable cells lifespan  weeks whose progenitors radiosensitive cells b) kinetics decline especially recovery NK cell activity may influenced suppressor cells. Should NK cell activity confer resistance autochthonous lymphomas vivo, may significant consideration strategies tumor therapy cytotoxic agents reconstitution NK cell pool slow process suppressor cell function must overcome full recovery."
762,762,Establishing local computed tomography dose reference level adults based acceptable quality dose approach,"Introduction The present study attempted establish local Computed Tomography DRL collecting radiation doses three frequently performed CT examinations institute. The present study focuses local DRLs based clinical indications main determinants patient radiation dose correlation acceptable image quality within facility. Method The present study included total  patient imaged Helical MDCT Ingenuity (Philips Healthcare, Cleveland, USA)  detector rows  slice. The CT examinations performed CT head acute stroke, routine chest CT routine abdomen CT examinations. A set common data collected CT examinations patient ID, age, weight, beam width, rotational time, image quality score (IQS). The CT dose parameters displayed CTDIvol DLP also measured scout image diagnostic CT respectively single phase CT examination. The median value calculated individual clinical CT examination based standard adequate image quality. Results The patients underwent CT study range   years age mean +/- SD age (. +/- .). The medium DLP calculated . mGy.cm, . mGy.cm . mGy.cm acute stroke head, routine chest routine abdomen CT examination respectively IQS . The scout image median DLP calculated . mGy.cm, . mGy.cm . mGy.cm acute stroke head, routine chest routine abdomen CT examination respectively IQS . Conclusion The study integration DRL clinical image quality. The optimization doses correlated diagnostic adequacy clinical image. Further study ongoing collect data categorize basis different weight group optimize dose index CT.",Excluded,"Establishing local computed tomography dose reference level adults based acceptable quality dose approach. Introduction The present study attempted establish local Computed Tomography DRL collecting radiation doses three frequently performed CT examinations institute. The present study focuses local DRLs based clinical indications main determinants patient radiation dose correlation acceptable image quality within facility. Method The present study included total  patient imaged Helical MDCT Ingenuity (Philips Healthcare, Cleveland, USA)  detector rows  slice. The CT examinations performed CT head acute stroke, routine chest CT routine abdomen CT examinations. A set common data collected CT examinations patient ID, age, weight, beam width, rotational time, image quality score (IQS). The CT dose parameters displayed CTDIvol DLP also measured scout image diagnostic CT respectively single phase CT examination. The median value calculated individual clinical CT examination based standard adequate image quality. Results The patients underwent CT study range   years age mean +/- SD age (. +/- .). The medium DLP calculated . mGy.cm, . mGy.cm . mGy.cm acute stroke head, routine chest routine abdomen CT examination respectively IQS . The scout image median DLP calculated . mGy.cm, . mGy.cm . mGy.cm acute stroke head, routine chest routine abdomen CT examination respectively IQS . Conclusion The study integration DRL clinical image quality. The optimization doses correlated diagnostic adequacy clinical image. Further study ongoing collect data categorize basis different weight group optimize dose index CT."
765,765,Low-dose abdominal computed tomography detection urinary stone disease - Impact additional spectral shaping X-ray beam image quality dose parameters,"OBJECTIVES: To evaluate novel tin filter-based abdominal CT protocol urolithiasis terms image quality CT dose parameters., METHODS:  consecutive patients suspected urolithiasis underwent non-enhanced CT three different protocols:  patients (group ) examined tin-filtered kV (kV Sn) third-generation dual-source-CT,  patients examined automated kV-selection (-kV) based scout view CT-device (group ),  patients examined second-generation dual-source-CT (group ) automated kV-selection (-kV). Automated exposure control active groups. Image quality subjectively evaluated -point-likert-scale two radiologists interobserver agreement well signal-to-noise-ratio (SNR) calculated. Dose-length-product (DLP) volume CT dose index (CTDIvol) compared., RESULTS: Image quality rated favour tin filter protocol excellent interobserver agreement (ICC=.-.) difference reached statistical significance (p<.). SNR significantly higher group   compared second-generation DSCT (p<.). On third-generation dual-source CT, significant difference SNR kV Sn automated kV selection protocol (p=.). The DLP group  % % (p<.) lower comparison group  , respectively. So CTDIvol group  compared group  (-%)  (-%) (p<.)., CONCLUSION: Additional shaping kV source spectrum tin filter substantially lowers patient exposure improving image quality un-enhanced abdominal computed tomography urinary stone disease. Copyright ©  Elsevier Ireland Ltd. All rights reserved.",Excluded,"Low-dose abdominal computed tomography detection urinary stone disease - Impact additional spectral shaping X-ray beam image quality dose parameters. OBJECTIVES: To evaluate novel tin filter-based abdominal CT protocol urolithiasis terms image quality CT dose parameters., METHODS:  consecutive patients suspected urolithiasis underwent non-enhanced CT three different protocols:  patients (group ) examined tin-filtered kV (kV Sn) third-generation dual-source-CT,  patients examined automated kV-selection (-kV) based scout view CT-device (group ),  patients examined second-generation dual-source-CT (group ) automated kV-selection (-kV). Automated exposure control active groups. Image quality subjectively evaluated -point-likert-scale two radiologists interobserver agreement well signal-to-noise-ratio (SNR) calculated. Dose-length-product (DLP) volume CT dose index (CTDIvol) compared., RESULTS: Image quality rated favour tin filter protocol excellent interobserver agreement (ICC=.-.) difference reached statistical significance (p<.). SNR significantly higher group   compared second-generation DSCT (p<.). On third-generation dual-source CT, significant difference SNR kV Sn automated kV selection protocol (p=.). The DLP group  % % (p<.) lower comparison group  , respectively. So CTDIvol group  compared group  (-%)  (-%) (p<.)., CONCLUSION: Additional shaping kV source spectrum tin filter substantially lowers patient exposure improving image quality un-enhanced abdominal computed tomography urinary stone disease. Copyright ©  Elsevier Ireland Ltd. All rights reserved."
768,768,Maternal effects scid mutation radiation-induced transgenerational instability mice,"The number recent studies show mutation rates offspring irradiated parents substantially elevated, however, effect parental genotype transgenerational instability remains poorly understood. Here, analysed mutation frequency expanded simple tandem repeat (ESTR) locus germline bone marrow first-generation male offspring control irradiated male mice. The frequency ESTR mutation studied offspring two reciprocal matings male symbol scid x female symbol BALB/c male symbol BALB/c x female symbol scid, compared BALB/c mice. In offspring BALB/c x BALB/c male symbol scid x female symbol BALB/c matings, conceived paternal sperm irradiation, frequency ESTR mutation significantly elevated tissues. In contrast, ESTR mutation frequency slightly elevated offspring male symbol BALB/c x female symbol scid mating conceived paternal irradiation. The study suggest oocytes scid females unable fully support repair double-strand breaks induced paternal sperm may turn result elimination cells/embryos containing high levels DNA damage, thus partially preventing manifestation genomic instability.",Excluded,"Maternal effects scid mutation radiation-induced transgenerational instability mice. The number recent studies show mutation rates offspring irradiated parents substantially elevated, however, effect parental genotype transgenerational instability remains poorly understood. Here, analysed mutation frequency expanded simple tandem repeat (ESTR) locus germline bone marrow first-generation male offspring control irradiated male mice. The frequency ESTR mutation studied offspring two reciprocal matings male symbol scid x female symbol BALB/c male symbol BALB/c x female symbol scid, compared BALB/c mice. In offspring BALB/c x BALB/c male symbol scid x female symbol BALB/c matings, conceived paternal sperm irradiation, frequency ESTR mutation significantly elevated tissues. In contrast, ESTR mutation frequency slightly elevated offspring male symbol BALB/c x female symbol scid mating conceived paternal irradiation. The study suggest oocytes scid females unable fully support repair double-strand breaks induced paternal sperm may turn result elimination cells/embryos containing high levels DNA damage, thus partially preventing manifestation genomic instability."
771,771,Improved discrimination benign malignant LDCT screening-detected lung nodules dynamic static F-FDG PET function injected dose,"Lung cancer mortality rate significantly reduced % routine low-dose computed tomography (LDCT) screening, which, however, high sensitivity low specificity, resulting high rate false-positive nodules. Combining PET CT may provide accurate diagnosis indeterminate screening-detected nodules. In work, investigated low-dose dynamic F-FDG PET discrimination benign malignant nodules using virtual clinical trial based patient study ground truth. Six patients initial LDCT screening-detected lung nodules received min single-bed PET scans following  mCi FDG injection. Low-dose static dynamic images generated under-sampled list-mode data various count levels (%, %, %, %, %). A virtual clinical trial performed adding nodule population variability, measurement noise, static PET acquisition start time variability time activity curves (TACs) patient data. We used receiver operating characteristic (ROC) analysis estimate classification capability standardized uptake value (SUV) net uptake constant K simulated benign malignant distributions. Various scan durations start times (t *) investigated dynamic Patlak analysis optimize simplified acquisition protocols population-based input function (PBIF). The area curve (AUC) ROC analysis higher increased scan duration earlier *. Highly similar obtained using PBIF using image-derived input function (IDIF). The AUC value K using optimized * scan duration % dose higher SUV % dose. Our suggest dynamic PET little  mCi FDG could provide discrimination benign malignant lung nodules higher % sensitivity specificity patients similar pilot simulated population study, LDCT screening-detected indeterminate lung nodules.",Excluded,"Improved discrimination benign malignant LDCT screening-detected lung nodules dynamic static F-FDG PET function injected dose. Lung cancer mortality rate significantly reduced % routine low-dose computed tomography (LDCT) screening, which, however, high sensitivity low specificity, resulting high rate false-positive nodules. Combining PET CT may provide accurate diagnosis indeterminate screening-detected nodules. In work, investigated low-dose dynamic F-FDG PET discrimination benign malignant nodules using virtual clinical trial based patient study ground truth. Six patients initial LDCT screening-detected lung nodules received min single-bed PET scans following  mCi FDG injection. Low-dose static dynamic images generated under-sampled list-mode data various count levels (%, %, %, %, %). A virtual clinical trial performed adding nodule population variability, measurement noise, static PET acquisition start time variability time activity curves (TACs) patient data. We used receiver operating characteristic (ROC) analysis estimate classification capability standardized uptake value (SUV) net uptake constant K simulated benign malignant distributions. Various scan durations start times (t *) investigated dynamic Patlak analysis optimize simplified acquisition protocols population-based input function (PBIF). The area curve (AUC) ROC analysis higher increased scan duration earlier *. Highly similar obtained using PBIF using image-derived input function (IDIF). The AUC value K using optimized * scan duration % dose higher SUV % dose. Our suggest dynamic PET little  mCi FDG could provide discrimination benign malignant lung nodules higher % sensitivity specificity patients similar pilot simulated population study, LDCT screening-detected indeterminate lung nodules."
