,decision,titleabstract
1719,Excluded,"Facet ""denervation"" in the treatment of low back syndrome Long-term pain relief occurred in 21% of patients with low back and leg pain who underwent injection or radiofrequency rhizotomy. When pain was accompanied by unequivocal limitation of straight leg raising, neither injection nor rhizotomy produced long-term relief. Leg pain improved more than low back pain. Improvement was limited to pain relief as reported to the physician and reduction of medication. There was no improvement in work or activity status. Despite the low success rate, facet ""denervation"" is uncommonly safe and seems to be of some usefulness in the treatment of patients with low back pain and sciatica."
2193,Excluded,"Post-transplant lymphoproliferative disorder (PTLD) presenting as solitary CNS lymphoma: A rare occurrence Introduction: PTLD associated lymphoma is the second most common malignancy in patients receiving SOT or HSCT with an incidence rate of 1%-3%. PCNS-PTLD occurs in 7%-15% of all PTLD cases. We present a case of isolated PCNS lymphoma two years after renal transplant. Case Description: A 57 year old woman with PMH of ESRD s/p kidney transplant (D/EBV -,R/ EBV +) with chronic CrCl of 30-40% presented with paresthesia and numbness over the right side of her body with mild ataxia 2 years post transplant. Physical exam revealed only numbness over the right side of body. MRI with contrast revealed a left thalamic lesion with moderate vasogenic edema, and MR spectroscopy confirmed high grade neoplasm involving left thalamus. Stereotactic biopsy showed polymorphic CD-20 and EBV positive PTLD. EBV PCR were elevated. Further evaluation ruled out systemic PTLD. Myfortic was stopped and oral steroids started with mild improvement in symptoms. Choice of systemic chemotherapy was limited due to reduced CrCl and risks of graft failure. She received modified regimen with renally adjusted high dose Methotrexate, Vincristine and Rituximab for 6 cycles with partial remission and then Temozolomide for 7 cycles with complete remission. Discussion(s): The incidence of PTLD ranges from 1 to 25% with 90% of cases being EBV-associated, CD20 positive, B cell neoplasms. PCNS-PTLD has a higher incidence in renal SOT, occurs late and is usually monomorphic unlike our patient. Median time of occurrence is 4-5 years after transplant. Risk factors include age, intensity of immunosuppression, time to transplant and EBV status of donor and recipient. Common presenting features include neurological deficits, seizure, and raised intracranial pressure. MRI is the preferred imaging and shows multifocal, ill defined, ring enhancing lesions usually in supratentorial and lobar regions. Positive CSF EBV PCR is highly suggestive but biopsy remains the gold standard for diagnosis. Treatment modalities include reduction of immunosuppression, rituximab, high dose methotrexate, cytarabine and cranial radiotherapy. Use of high dose methotrexate has shown improved outcomes with median survival of 26-47 months. Lack of response to first line therapy is considered the dominant prognostic factor. Early recognition and diagnosis remain crucial for improving outcome."
2053,Included,"Irradiation of intracerebral 9L gliosarcoma by a single array of microplanar x-ray beams from a synchrotron: balance between curing and sparing The purpose of this work was the understanding of microbeam radiation therapy at the ESRF in order to find the best compromise between curing of tumors and sparing of normal tissues, to obtain a better understanding of survival curves and to report its efficiency. This method uses synchrotron-generated x-ray microbeams. Rats were implanted with 9L gliosarcomas and the tumors were diagnosed by MRI. They were irradiated 14 days after implantation by arrays of 25 microm wide microbeams in unidirectional mode, with a skin entrance dose of 625 Gy. The effect of using 200 or 100 microm center-to-center spacing between the microbeams was compared. The median survival time (post-implantation) was 40 and 67 days at 200 and 100 microm spacing, respectively. However, 72% of rats irradiated at 100 microm spacing showed abnormal clinical signs and weight patterns, whereas only 12% of rats were affected at 200 microm spacing. In parallel, histological lesions of the normal brain were found in the 100 microm series only. Although the increase in lifespan was equal to 273% and 102% for the 100 and 200 microm series, respectively, the 200 microm spacing protocol provides a better sparing of healthy tissue and may prove useful in combination with other radiation modalities or additional drugs."
806,Included,"Localization of glutathione and induction of glutathione synthesis-related proteins in mouse brain by low doses of gamma-rays First, we determined the cerebral localization of reduced glutathione (GSH) in normal mice by means of autoradiography using 99mTc-meso-hexamethyl propylene oxime. A highly specific localization of GSH in the cerebellum and hippocampus was observed. Secondly, we measured the elevation of GSH level in the brain after low-dose gamma-irradiation. The cerebral GSH levels increased soon after irradiation with 50 cGy of gamma-rays, reaching a maximum at 3 h post-treatment, then remaining significantly higher than that of the non-irradiated control until 12 h and returning to the control level by 24 h. Thirdly, we examined the induction of the activities and the mRNAs of proteins involved in the synthesis and regeneration of GSH in the brain of mice subjected to low-dose gamma-ray irradiation. The level of mRNA for gamma-glutamylcysteine synthetase was significantly increased at 0.5 h, and remained high until 2 h post-irradiation (50 cGy). The level was transiently lowered to the non-irradiated control level at 3 h and slightly increased again after 6 h post-irradiation. gamma-Glutamylcysteine synthetase activity was significantly increased 3 h after irradiation, and remained high up to 24 h post-irradiation. As for glutathione reductase, the mRNA level was increased at 0.5 h, and peaked strongly at 2 h, while the enzyme activity was significantly increased at 6 h after irradiation, and continued to increase up to 24 h. The level of mRNA for thioredoxin, which contributes to GSH biosynthesis by supplying cysteine to the de novo pathway, peaked between 0.5 h and 2 h post-irradiation, and rapidly declined thereafter. The content of thioredoxin showed a transient decrease immediately after irradiation, but was then remarkably elevated, reaching a maximum at 3 h, and thereafter declining sharply. These results indicate that the increase in endogenous GSH in mouse brain soon after low-dose gamma-ray irradiation is a consequence of the induction of GSH synthesis-related proteins and occurs via both the de novo synthesis and the regeneration pathways."
2868,Excluded,"Treatment of brain radiation necrosis with mouse-nerve growth factor: A phase II trial Purpose/Objective(s): To conduct a prospective phase II trial of mouse-Nerve Growth Factor (mNGF) for the treatment of symptomatic radiation induced brain necrosis. Materials/Methods: A total of 10 patients were entered into this phase II study of mNGF for the treatment of symptomatic temporal lobe radiation necrosis. All patients had undergone definitive radiotherapy for nasopharyngeal carcinoma (NPC) years before, and were required to have radiographic or biopsy proved temporal lobe radiation necrosis and progressive neurologic symptoms or signs. mNGF was dissolved in 2ml normal saline, and then injected intramuscularly at 18mg/time, once a day for 2 months. The magnetic resonance imaging (MRI) findings at 3 - 4 weeks after the use of mNGF and clinical signs and symptoms defined the response or progression. Result(s): The only side effect observed was mild pain at the injection site in 2 patients. The volumes of necrosis estimated on T1- weighted gadolinium- enhanced MRI scans demonstrated that 2 patients achieved complete response, 5patients achieved partial response, and 3 patients did not respond. The neurologic symptoms or signs disappeared completely in 4 patients, improved in 4 patients, and had no change in 2 patients. Conclusion(s): This phase II trial demonstrated that the mNGF is effective for the treatment of temporal lobe radiation necrosis with minimal side effects. Prospective placebo controlled randomized study is justified to test further its routine use for people with radiation induced temporal lobe necrosis."
2100,Excluded,"Richter's syndrome in the brain first manifested as an ischaemic stroke Isolated central nervous system involvement in Richter's syndrome (RS) is extremely rare and only 6 such cases have been described, so far. We report a 60-year-old woman with B-cell chronic lymphocytic leukemia (B-CLL) heavily pretreated with cladribine based regimens and rituximab in whom RS in the brain was first manifested as a stroke. Initial cranial computed tomography (CT) revealed a hypodense area in the right parietal lobe showing no contrast enhancement. The follow-up CT done after 2 months showed an irregular, slightly hyperdense tumor surrounded by oedema with mass effect and midline shift. However, cerebrospinal fluid (CSF) examinations revealed no pathological changes. Neurosurgical operation was performed and the diagnosis of diffuse large B-cell lymphoma (DLBCL) has been established on the basis of histological and immunological investigation of the tumor. The pattern of immunoglobulin heavy chain (IgH) gene rearrangement in the patients' bone marrow aspirate and brain tumor was identical and suggested that both tumors originated from the same B-cell progenitors. The patient was then treated with brain irradiation (2000 cGy) and complete remission as assessed by MRI was achieved. Significant neurological improvement was observed and no clinical progression was stated 3 months after radiotherapy."
1554,Excluded,"Human mesenchymal stem cells home specifically to radiation-injured tissues in a non-obese diabetes/severe combined immunodeficiency mouse model The therapeutic potential of bone marrow-derived human mesenchymal stem cells (hMSC) has recently been brought into the spotlights of many fields of research. One possible application of the approach is the repair of tissue injuries related to side effects of radiotherapy. The first challenge in cell therapy is to assess the quality of the cell and the ability to retain their differentiation potential during the expansion process. Efficient delivery to the sites of intended action is also necessary. We addressed both challenges using hMSC cultured and then infused to non-obese diabetes/severe combined immunodeficiency (NOD/SCID) mice submitted to total body irradiation. Furthermore, we tested the impact of additional abdominal irradiation superimposed to total body irradiation (TBI), as a model of local therapeutic irradiation. Our results showed that the hMSC used for transplant have been expanded without significant loss in their differentiation capacities. After transplantation into adult unconditioned mice, hMSC not only migrate in bone marrow but also into other tissues. Total body irradiation increased hMSC implantation in bone marrow and muscle and further led to engraftment in brain, heart and liver. Local irradiation in addition to TBI, increased homing of injected cells to the injured tissues and to other tissues outside the local irradiation field. Morphological recovery of irradiated tissues after MSC transplantation and/or differentiation of MSC into specific organ cell types needs to be investigated. This study suggests that using the potential of hMSC to home to various organs in response to tissue injuries might be a strategy to repair the radiation-induced damages."
2871,Excluded,"[Timing of Brain Radiation Therapy Impacts Outcomes in Patients with Non-small Cell Lung Cancer Who Develop Brain Metastases] BACKGROUND: Radiotherapy combined with chemotherapy or molecular targeted therapy remains the standard of treatment for brain metastases from non-small cell lung cancer (NSCLC). The aim of this study is to determine if the deferral of brain radiotherapy impacts patient outcomes.METHODS: Between May 2003 and December 2015, a total of 198 patients with brain metastases from NSCLC who received both brain radiotherapy and systemic therapy (chemotherapy or targeted therapy) were identified. The rate of grade 3-4 adverse reactions related to chemotherapy and radiotherapy had no significant difference between two groups. 127 patients received concurrent brain radiotherapy and systemic therapy, and 71 patients received deferred brain radiotherapy after at least two cycles of chemotherapy or targeted therapy. Disease specific-graded prognostic assessment was similar in early radiotherapy group and deferred radiotherapy group.RESULTS: Median overall survival (OS) was longer in early radiotherapy group compared to deferred radiotherapy group (17.9 months vs 12.6 months; P=0.038). Progression free survival (PFS) was also improved in patients receiving early radiotherapy compared to those receiving deferred radiotherapy (4.0 months vs 3.0 months; P<0.01). Receiving tyrosine kinase inhibitor (TKI) therapy after the diagnosis of brain metastases as any line therapy improved the OS (20.0 months vs 10.7 months; P<0.01), whereas receiving TKI as first line therapy did not (17.9 months vs 15.2 months; P=0.289).CONCLUSIONS: Our study suggests that the use of deferred brain radiotherapy may resulted in inferior OS in patients with NSCLC who develop brain metastases. A prospective multi-central randomized study is imminently needed."
1317,Excluded,"An attempt to influence DNA content in postmitotic Purkinje cells of the cerebellum Feulgen-DNA content has been measured cytophotometrically in granule and Purkinje cells of the rat and mouse cerebellum. The study has confirmed that under normal conditions a very small part of the P. cell population in rats (less than 3%) possesses a Feulgen-DNA surplus ranging from 2C to 4C. In mice, the hyperdiploid (H2C) P. cells are even more rare. The occurrence of H2C-P. cells in rats and probably also in mice has not been substantially changed in animals exposed to factors interfering with chromatin structure and/or its template activity; the H2C-P. cells seem to be slightly more frequent after injecting mice with corticoids (Urbason) or in animals suffering from ectromelia or hereditary Purkinje cell degeneration. The incidence of H2C-P. cells has neither been substantially affected by experimental conditions which are known to lead to functional and/or metabolic stimulation of the cerebellum. Functional changes in the number of H2C-P. cell nuclei may, however, be short-term or transient in character and therefore might have excaped detection in our models. The findings rule out an impact of some reasons suspected for the artefactual origin of Feulgen H2C DNA values as e.g. compactness of the chromatin."
2697,Excluded,"Blue Light Increases Neuronal Activity-Regulated Gene Expression in the Absence of Optogenetic Proteins Optogenetics is widely used to control diverse cellular functions with light, requiring experimenters to expose cells to bright light. Because extended exposure to visible light can be toxic to cells, it is important to characterize the effects of light stimulation on cellular function in the absence of optogenetic proteins. Here we exposed mouse cortical cultures with no exogenous optogenetic proteins to several hours of flashing blue, red, or green light. We found that exposing these cultures to as short as 1 h of blue light, but not red or green light, results in an increase in the expression of neuronal activity-regulated genes. Our findings suggest that blue light stimulation is ill suited to long-term optogenetic experiments, especially those that measure transcription, and they emphasize the importance of performing light-only control experiments in samples without optogenetic proteins."
135,Excluded,"Electron beam irradiation as protection against the environmental release of recombinant molecules for biomaterials applications In biomaterials applications there exists a need to protect against the environmental release of recombinant microorganisms and transmissible genetic material and to prevent the recovery of proprietary genetic information. Irradiation technologies have long been used to eliminate microorganisms associated with spoilage and contamination and recent studies have demonstrated that moderate doses of irradiation may be used to sterilize medically important proteins without causing adverse effects in their desirable biological properties. Recombinant Escherichia coli cells expressing organophosphate hydrolase (OPH, E.C. 3.1.8.1), an important enzyme for the detection and decontamination of neurotoxic pesticides and chemical warfare agents, were subjected to electron beam irradiation to gauge its effect on enzymatic activity, cell viability and DNA recoverability. Bacterial samples were irradiated at 2, 20 and 200 kGy using a 10 MeV electron source. Irradiation levels of 2 to 20 kGy were sufficient to eliminate viable cells without affecting OPH enzymatic activity. Biologically active DNA was recovered via PCR from all samples through the 20 kGy irradiation level. While DNA was not recovered from samples at the 200 kGy exposure level, protein activity was reduced by 19 to 78%, depending on the method of cell preparation. These results demonstrate that irradiation can be effective in preventing the release of recombinant organisms intended for use in biomaterials applications without eliminating enzymatic activity and suggests that further research may indicate specific conditions whereby DNA recovery can be eliminated while retaining sufficient enzymatic activity for targeted biomaterials applications."
2325,Excluded,"Endoscopic endonasal skull base rosai-dorfman disease biopsy and orbital decompression: A case report Rosai-Dorfman disease (RDD) is a rare, benign histiocytosis disorder with only -100 reported cases in the literature. Even less common is skull base involvement of RDD, with only 41 reported cases. Radiographically, RDD can appear very similar to a meningioma, and RDD can only be diagnosed with tissue biopsy. This ""benign"" condition can cause significant neurologic morbidity both from the disease and unnecessary surgical treatment of the disease. Although rare, generally intracranial RDD has been treated with chemotherapy or radiation with limited role for surgery to relieve mass effect. Surgical approaches to the skull base are invasive and pose risk, especially for a benign and self-limiting disease like RDD. Presented, is the case of a 63-year-old woman with a presumed spheno-cavernous meningioma that was previously radiated without tissue diagnosis. In the interim, she was diagnosed with RDD by her dermatologist after skin biopsy. Upon presentation, the patient was experiencing retroorbital headaches and blurry vision, and MR imaging demonstrated progression of her lesion. On examination she had mild right proptosis and a partial Cranial Nerve III palsy. For these reasons, surgical biopsy was undertaken with the goal of orbital and optic nerve decompressions. An endoscopic endonasal unilateral approach was performed to sample tissue at the superior orbital fissure, with bony decompression of the orbit and optic canal. Her symptoms stabilized and the diagnosis was made of skull base RDD, after which she was started on steroids and methotrexate. At 1-month follow-up the patient remained well. Her proptosis improved, Cranial Nerve III symptoms remained stable, and her RDD remained stable as well. Hematology will start this patient on Cladribine for more intensive systemic therapy. This case report highlights the first use of the endoscopic endonasal approach for biopsy and symptom palliation via decompression of skull base RDD."
1072,Included,"Acute brain radiation injury of rabbits: A control study on proton MRS findings and histopathological changes. [Chinese] Objective: To establish radiation induced brain injury rabbit models for observing <sup>1</sup>H-MRS changes and probing on the correlation between MRS findings and histopathological changes. Method(s): Twenty-seven adult New Zealand white rabbits were randomly divided into 9 groups (each n=3). The rabbit brains were irradiated with a single dose of 25 Gy. The observation posts included pre-radiation and 1 to 8 weeks after radiation. Each group underwent single-voxel <sup>1</sup>H-MRS, after the completion of image acquisition, the animals were sacrificed, and histological specimens were obtained. Pathological changes were analyzed combined with MRS changes. Result(s): The metabolic ratios of choline/creatine (Cho/Cr) increased first and then decreased obviously. Cho/Cr was 1.52 +/- 0.28 pre-radiation, 3.20 +/- 0.72 at 4 weeks, and 2.04 +/- 0.05 at 8 weeks after radiation. The metabolic ratios of N-acetyl aspartate (NAA)/Cr showed significant decrease tendency, which decreased to 1.28 +/- 0.05 8 weeks after radiation from pre-radiation value of 1.97 +/- 0.25. The metabolic ratios of Cho/NAA showed significant increase after irradiation, which increased to 2.04 +/- 0.78 at 8 weeks after radiation, while the value was 1.19 +/- 0.15 pre-irradiation. After irradiation, vascular changes included telangiectasias and thrombosis, which appeared 2 weeks after irradiation in the histology samples. From 4 weeks after irradiation, ueuron swelling, cytoplasm edema, astrocytosis and microglia hyperplasia could be observed, and demyelination were observed in the white matter and corpus callosum. Conclusion(s): The changes of MRS index are closely related with histopathological findings of acute brain radiation injury of rabbits. MRS can be used as an imaging method for early diagnosis of radiation brain injury. Copyright © 2012 by the Press of Chinese Journal of Medical Imaging Technology."
